graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
binomial_30_05_0,Random,0,66,0,152,1.0
binomial_30_05_0,Random,1,71,0,147,1.0
binomial_30_05_0,Random,2,72,0,146,1.0
binomial_30_05_0,Random,3,70,0,148,1.0
binomial_30_05_0,Random,4,68,0,150,1.0
binomial_30_05_0,Random,5,71,0,147,1.0
binomial_30_05_0,Random,6,67,0,151,1.0
binomial_30_05_0,Random,7,66,0,152,1.0
binomial_30_05_0,Random,8,67,0,151,1.0
binomial_30_05_0,Random,9,67,0,151,1.0
binomial_30_05_0,Random,10,59,0,159,1.0
binomial_30_05_0,Random,11,59,0,159,1.0
binomial_30_05_0,Random,12,59,0,159,1.0
binomial_30_05_0,Random,13,55,0,163,1.0
binomial_30_05_0,Random,14,58,0,160,1.0
binomial_30_05_0,Random,15,52,0,166,1.0
binomial_30_05_0,Random,16,55,0,163,1.0
binomial_30_05_0,Random,17,53,0,165,1.0
binomial_30_05_0,Random,18,54,0,164,1.0
binomial_30_05_0,Random,19,52,0,166,1.0
binomial_30_05_0,Random,20,49,0,169,1.0
binomial_30_05_0,Random,21,49,0,169,1.0
binomial_30_05_0,Random,22,49,0,169,1.0
binomial_30_05_0,Random,23,48,0,170,1.0
binomial_30_05_0,Random,24,48,0,170,1.0
binomial_30_05_0,Random,25,47,0,171,1.0
binomial_30_05_0,Random,26,47,0,171,1.0
binomial_30_05_0,Random,27,47,0,171,1.0
binomial_30_05_0,Random,28,47,0,171,1.0
binomial_30_05_0,Random,29,50,0,168,1.0
binomial_30_05_0,Random,30,49,0,169,1.0
binomial_30_05_0,Random,31,55,0,163,1.0
binomial_30_05_0,Random,32,56,0,162,1.0
binomial_30_05_0,Random,33,54,0,164,1.0
binomial_30_05_0,Random,34,54,0,164,1.0
binomial_30_05_0,Random,35,54,0,164,1.0
binomial_30_05_0,Random,36,59,0,159,1.0
binomial_30_05_0,Random,37,54,0,164,1.0
binomial_30_05_0,Random,38,50,0,168,1.0
binomial_30_05_0,Random,39,51,0,167,1.0
binomial_30_05_0,Random,40,55,0,163,1.0
binomial_30_05_0,Random,41,55,0,163,1.0
binomial_30_05_0,Random,42,53,0,165,1.0
binomial_30_05_0,Random,43,56,0,162,1.0
binomial_30_05_0,Random,44,64,0,154,1.0
binomial_30_05_0,Random,45,60,0,158,1.0
binomial_30_05_0,Random,46,60,0,158,1.0
binomial_30_05_0,Random,47,62,0,156,1.0
binomial_30_05_0,Random,48,62,0,156,1.0
binomial_30_05_0,Random,49,55,0,163,1.0
binomial_30_05_0,Random,50,59,0,159,1.0
binomial_30_05_0,Random,51,62,0,156,1.0
binomial_30_05_0,Random,52,64,0,154,1.0
binomial_30_05_0,Random,53,65,0,153,1.0
binomial_30_05_0,Random,54,62,0,156,1.0
binomial_30_05_0,Random,55,59,0,159,1.0
binomial_30_05_0,Random,56,64,0,154,1.0
binomial_30_05_0,Random,57,64,0,154,1.0
binomial_30_05_0,Random,58,64,0,154,1.0
binomial_30_05_0,Random,59,66,0,152,1.0
binomial_30_05_0,Random,60,63,0,155,1.0
binomial_30_05_0,Random,61,58,0,160,1.0
binomial_30_05_0,Random,62,62,0,156,1.0
binomial_30_05_0,Random,63,60,0,158,1.0
binomial_30_05_0,Random,64,56,0,162,1.0
binomial_30_05_0,Random,65,63,0,155,1.0
binomial_30_05_0,Random,66,58,0,160,1.0
binomial_30_05_0,Random,67,61,0,157,1.0
binomial_30_05_0,Random,68,60,0,158,1.0
binomial_30_05_0,Random,69,61,0,157,1.0
binomial_30_05_0,Random,70,60,0,158,1.0
binomial_30_05_0,Random,71,70,0,148,1.0
binomial_30_05_0,Random,72,69,0,149,1.0
binomial_30_05_0,Random,73,63,0,155,1.0
binomial_30_05_0,Random,74,69,0,149,1.0
binomial_30_05_0,Random,75,59,0,159,1.0
binomial_30_05_0,Random,76,59,0,159,1.0
binomial_30_05_0,Random,77,57,0,161,1.0
binomial_30_05_0,Random,78,62,0,156,1.0
binomial_30_05_0,Random,79,65,0,153,1.0
binomial_30_05_0,Random,80,70,0,148,1.0
binomial_30_05_0,Random,81,62,0,156,1.0
binomial_30_05_0,Random,82,63,0,155,1.0
binomial_30_05_0,Random,83,61,0,157,1.0
binomial_30_05_0,Random,84,66,0,152,1.0
binomial_30_05_0,Random,85,66,0,152,1.0
binomial_30_05_0,Random,86,65,0,153,1.0
binomial_30_05_0,Random,87,67,0,151,1.0
binomial_30_05_0,Random,88,66,0,152,1.0
binomial_30_05_0,Random,89,61,0,157,1.0
binomial_30_05_0,Random,90,62,0,156,1.0
binomial_30_05_0,Random,91,68,0,150,1.0
binomial_30_05_0,Random,92,60,0,158,1.0
binomial_30_05_0,Random,93,60,0,158,1.0
binomial_30_05_0,Random,94,55,0,163,1.0
binomial_30_05_0,Random,95,52,0,166,1.0
binomial_30_05_0,Random,96,58,0,160,1.0
binomial_30_05_0,Random,97,58,0,160,1.0
binomial_30_05_0,Random,98,58,0,160,1.0
binomial_30_05_0,Random,99,56,0,162,1.0
binomial_30_05_0,Random,100,51,0,167,1.0
binomial_30_05_0,Random,101,52,0,166,1.0
binomial_30_05_0,Random,102,52,0,166,1.0
binomial_30_05_0,Random,103,52,0,166,1.0
binomial_30_05_0,Random,104,53,0,165,1.0
binomial_30_05_0,Random,105,54,0,164,1.0
binomial_30_05_0,Random,106,57,0,161,1.0
binomial_30_05_0,Random,107,54,0,164,1.0
binomial_30_05_0,Random,108,56,0,162,1.0
binomial_30_05_0,Random,109,56,0,162,1.0
binomial_30_05_0,Random,110,52,0,166,1.0
binomial_30_05_0,Random,111,52,0,166,1.0
binomial_30_05_0,Random,112,61,0,157,1.0
binomial_30_05_0,Random,113,64,0,154,1.0
binomial_30_05_0,Random,114,56,0,162,1.0
binomial_30_05_0,Random,115,62,0,156,1.0
binomial_30_05_0,Random,116,66,0,152,1.0
binomial_30_05_0,Random,117,67,0,151,1.0
binomial_30_05_0,Random,118,62,0,156,1.0
binomial_30_05_0,Random,119,62,0,156,1.0
binomial_30_05_0,Random,120,63,0,155,1.0
binomial_30_05_0,Random,121,59,0,159,1.0
binomial_30_05_0,Random,122,68,0,150,1.0
binomial_30_05_0,Random,123,59,0,159,1.0
binomial_30_05_0,Random,124,59,0,159,1.0
binomial_30_05_0,Random,125,63,0,155,1.0
binomial_30_05_0,Random,126,59,0,159,1.0
binomial_30_05_0,Random,127,62,0,156,1.0
binomial_30_05_0,Random,128,60,0,158,1.0
binomial_30_05_0,Random,129,65,0,153,1.0
binomial_30_05_0,Random,130,70,0,148,1.0
binomial_30_05_0,Random,131,73,0,145,1.0
binomial_30_05_0,Random,132,67,0,151,1.0
