graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
watts_20_5_07,Random,0,0,40,0,0.0
watts_20_5_07,Random,1,1,39,0,0.15
watts_20_5_07,Random,2,2,38,0,0.3
watts_20_5_07,Random,3,3,35,2,0.35
watts_20_5_07,Random,4,4,33,3,0.4
watts_20_5_07,Random,5,4,30,6,0.5
watts_20_5_07,Random,6,4,24,12,0.6
watts_20_5_07,Random,7,4,24,12,0.6
watts_20_5_07,Random,8,2,24,14,0.6
watts_20_5_07,Random,9,2,24,14,0.6
watts_20_5_07,Random,10,0,23,17,0.65
watts_20_5_07,Random,11,4,21,15,0.7
watts_20_5_07,Random,12,12,21,7,0.7
watts_20_5_07,Random,13,8,19,13,0.75
watts_20_5_07,Random,14,5,19,16,0.75
watts_20_5_07,Random,15,2,19,19,0.75
watts_20_5_07,Random,16,3,19,18,0.75
watts_20_5_07,Random,17,3,19,18,0.75
watts_20_5_07,Random,18,1,15,24,0.8
watts_20_5_07,Random,19,1,15,24,0.8
watts_20_5_07,Random,20,1,15,24,0.8
watts_20_5_07,Random,21,0,15,25,0.8
watts_20_5_07,Random,22,0,15,25,0.8
watts_20_5_07,Random,23,3,15,22,0.8
watts_20_5_07,Random,24,3,12,25,0.85
watts_20_5_07,Random,25,3,12,25,0.85
watts_20_5_07,Random,26,5,7,28,0.9
watts_20_5_07,Random,27,5,7,28,0.9
watts_20_5_07,Random,28,5,7,28,0.9
watts_20_5_07,Random,29,3,7,30,0.9
watts_20_5_07,Random,30,3,7,30,0.9
watts_20_5_07,Random,31,4,7,29,0.9
watts_20_5_07,Random,32,5,7,28,0.9
watts_20_5_07,Random,33,5,7,28,0.9
watts_20_5_07,Random,34,5,7,28,0.9
watts_20_5_07,Random,35,5,7,28,0.9
watts_20_5_07,Random,36,5,5,30,0.95
watts_20_5_07,Random,37,5,5,30,0.95
watts_20_5_07,Random,38,4,5,31,0.95
watts_20_5_07,Random,39,6,0,34,1.0
watts_20_5_07,Random,40,7,0,33,1.0
watts_20_5_07,Random,41,6,0,34,1.0
watts_20_5_07,Random,42,5,0,35,1.0
watts_20_5_07,Random,43,5,0,35,1.0
watts_20_5_07,Random,44,4,0,36,1.0
watts_20_5_07,Random,45,5,0,35,1.0
watts_20_5_07,Random,46,5,0,35,1.0
watts_20_5_07,Random,47,5,0,35,1.0
