graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
binomial_30_05_0,Random,0,67,0,136,1.0
binomial_30_05_0,Random,1,69,0,134,1.0
binomial_30_05_0,Random,2,65,0,138,1.0
binomial_30_05_0,Random,3,62,0,141,1.0
binomial_30_05_0,Random,4,57,0,146,1.0
binomial_30_05_0,Random,5,55,0,148,1.0
binomial_30_05_0,Random,6,54,0,149,1.0
binomial_30_05_0,Random,7,51,0,152,1.0
binomial_30_05_0,Random,8,51,0,152,1.0
binomial_30_05_0,Random,9,47,0,156,1.0
binomial_30_05_0,Random,10,47,0,156,1.0
binomial_30_05_0,Random,11,50,0,153,1.0
binomial_30_05_0,Random,12,56,0,147,1.0
binomial_30_05_0,Random,13,56,0,147,1.0
binomial_30_05_0,Random,14,53,0,150,1.0
binomial_30_05_0,Random,15,55,0,148,1.0
binomial_30_05_0,Random,16,55,0,148,1.0
binomial_30_05_0,Random,17,55,0,148,1.0
binomial_30_05_0,Random,18,50,0,153,1.0
binomial_30_05_0,Random,19,48,0,155,1.0
binomial_30_05_0,Random,20,48,0,155,1.0
binomial_30_05_0,Random,21,49,0,154,1.0
binomial_30_05_0,Random,22,47,0,156,1.0
binomial_30_05_0,Random,23,48,0,155,1.0
binomial_30_05_0,Random,24,54,0,149,1.0
binomial_30_05_0,Random,25,52,0,151,1.0
binomial_30_05_0,Random,26,52,0,151,1.0
binomial_30_05_0,Random,27,50,0,153,1.0
binomial_30_05_0,Random,28,48,0,155,1.0
binomial_30_05_0,Random,29,48,0,155,1.0
binomial_30_05_0,Random,30,50,0,153,1.0
binomial_30_05_0,Random,31,50,0,153,1.0
binomial_30_05_0,Random,32,47,0,156,1.0
binomial_30_05_0,Random,33,46,0,157,1.0
binomial_30_05_0,Random,34,46,0,157,1.0
binomial_30_05_0,Random,35,46,0,157,1.0
binomial_30_05_0,Random,36,45,0,158,1.0
binomial_30_05_0,Random,37,45,0,158,1.0
binomial_30_05_0,Random,38,42,0,161,1.0
binomial_30_05_0,Random,39,41,0,162,1.0
binomial_30_05_0,Random,40,41,0,162,1.0
binomial_30_05_0,Random,41,43,0,160,1.0
binomial_30_05_0,Random,42,44,0,159,1.0
binomial_30_05_0,Random,43,44,0,159,1.0
binomial_30_05_0,Random,44,44,0,159,1.0
binomial_30_05_0,Random,45,47,0,156,1.0
binomial_30_05_0,Random,46,51,0,152,1.0
binomial_30_05_0,Random,47,51,0,152,1.0
binomial_30_05_0,Random,48,54,0,149,1.0
binomial_30_05_0,Random,49,50,0,153,1.0
binomial_30_05_0,Random,50,50,0,153,1.0
binomial_30_05_0,Random,51,52,0,151,1.0
binomial_30_05_0,Random,52,53,0,150,1.0
binomial_30_05_0,Random,53,51,0,152,1.0
binomial_30_05_0,Random,54,52,0,151,1.0
binomial_30_05_0,Random,55,51,0,152,1.0
binomial_30_05_0,Random,56,52,0,151,1.0
binomial_30_05_0,Random,57,51,0,152,1.0
binomial_30_05_0,Random,58,54,0,149,1.0
