graphName,algorithm,iteration,relevance,relevanceBinary,recall,conflicts,unknown,notConflicts,effect,confDiff,percentColored,run
clustered_10_0.2_0.05,Random,0,0,0,0.0,0,154,2,0,0,0.046153846153846156,0
clustered_10_0.2_0.05,Random,1,0.0,0.0,0.0,0,152,4,0,0,0.09230769230769231,0
clustered_10_0.2_0.05,Random,2,0.0,0.0,0.0,0,149,7,0,0,0.13846153846153847,0
clustered_10_0.2_0.05,Random,3,0.1111111111111111,0.3333333333333333,0.08333333333333333,1,146,9,1,-2,0.16923076923076924,0
clustered_10_0.2_0.05,Random,4,0.2222222222222222,0.3333333333333333,0.0625,1,141,14,1,-2,0.2153846153846154,0
clustered_10_0.2_0.05,Random,5,0.0,0.0,0.0,3,140,13,0,0,0.23076923076923078,0
clustered_10_0.2_0.05,Random,6,0.1111111111111111,0.3333333333333333,0.09090909090909091,3,135,18,1,-1,0.26153846153846155,0
clustered_10_0.2_0.05,Random,7,0.0,0.0,0.0,3,133,20,0,0,0.3076923076923077,0
clustered_10_0.2_0.05,Random,8,0.2222222222222222,0.6666666666666666,0.18181818181818182,3,133,20,0,0,0.3076923076923077,0
clustered_10_0.2_0.05,Random,9,0.0,0.0,0.0,3,128,25,0,0,0.3384615384615385,0
clustered_10_0.2_0.05,Random,10,0.1111111111111111,0.3333333333333333,0.07692307692307693,3,122,31,0,0,0.38461538461538464,0
clustered_10_0.2_0.05,Random,11,0.0,0.0,0.0,3,118,35,0,0,0.4153846153846154,0
clustered_10_0.2_0.05,Random,12,0.1111111111111111,0.3333333333333333,0.1111111111111111,3,112,41,0,0,0.46153846153846156,0
clustered_10_0.2_0.05,Random,13,0.0,0.0,0.0,3,111,42,0,0,0.47692307692307695,0
clustered_10_0.2_0.05,Random,14,0.0,0.0,0.0,5,108,43,0,0,0.49230769230769234,0
clustered_10_0.2_0.05,Random,15,0.1111111111111111,0.3333333333333333,0.05263157894736842,6,100,50,0,0,0.5230769230769231,0
clustered_10_0.2_0.05,Random,16,0.1111111111111111,0.3333333333333333,0.07142857142857142,8,94,54,0,0,0.5538461538461539,0
clustered_10_0.2_0.05,Random,17,0.1111111111111111,0.3333333333333333,0.058823529411764705,12,77,67,0,0,0.6,0
clustered_10_0.2_0.05,Random,18,0.1111111111111111,0.3333333333333333,0.1,15,76,65,0,0,0.6153846153846154,0
clustered_10_0.2_0.05,Random,19,0.0,0.0,0.0,15,76,65,0,0,0.6153846153846154,0
clustered_10_0.2_0.05,Random,20,0.0,0.0,0.0,17,72,67,0,0,0.6307692307692307,0
clustered_10_0.2_0.05,Random,21,0.0,0.0,0.0,14,67,75,0,0,0.6615384615384615,0
clustered_10_0.2_0.05,Random,22,0.0,0.0,0.0,14,62,80,1,-3,0.6923076923076923,0
clustered_10_0.2_0.05,Random,23,0.0,0.0,0.0,14,60,82,0,0,0.7076923076923077,0
clustered_10_0.2_0.05,Random,24,0.0,0.0,0.0,14,60,82,0,0,0.7076923076923077,0
clustered_10_0.2_0.05,Random,25,0.1111111111111111,0.3333333333333333,0.08333333333333333,17,57,82,1,4,0.7230769230769231,0
clustered_10_0.2_0.05,Random,26,0.0,0.0,0.0,18,52,86,0,0,0.7384615384615385,0
clustered_10_0.2_0.05,Random,27,0.0,0.0,0.0,20,52,84,0,0,0.7384615384615385,0
clustered_10_0.2_0.05,Random,28,0.0,0.0,0.0,19,52,85,0,0,0.7384615384615385,0
clustered_10_0.2_0.05,Random,29,0.0,0.0,0.0,19,52,85,0,0,0.7384615384615385,0
clustered_10_0.2_0.05,Random,30,0.1111111111111111,0.3333333333333333,0.16666666666666666,21,48,87,0,0,0.7692307692307693,0
clustered_10_0.2_0.05,Random,31,0.0,0.0,0.0,19,48,89,0,0,0.7692307692307693,0
clustered_10_0.2_0.05,Random,32,0.0,0.0,0.0,20,48,88,0,0,0.7692307692307693,0
clustered_10_0.2_0.05,Random,33,0.0,0.0,0.0,20,43,93,0,0,0.8,0
clustered_10_0.2_0.05,Random,34,0.0,0.0,0.0,20,43,93,0,0,0.8,0
clustered_10_0.2_0.05,Random,35,0.1111111111111111,0.3333333333333333,0.08333333333333333,20,43,93,0,0,0.8,0
clustered_10_0.2_0.05,Random,36,0.0,0.0,0.0,20,43,93,0,0,0.8,0
clustered_10_0.2_0.05,Random,37,0.2222222222222222,0.6666666666666666,0.16666666666666666,20,40,96,0,0,0.8153846153846154,0
clustered_10_0.2_0.05,Random,38,0.0,0.0,0.0,21,40,95,0,0,0.8153846153846154,0
clustered_10_0.2_0.05,Random,39,0.0,0.0,0.0,24,36,96,0,0,0.8307692307692308,0
clustered_10_0.2_0.05,Random,40,0.0,0.0,0.0,24,36,96,0,0,0.8307692307692308,0
clustered_10_0.2_0.05,Random,41,0.1111111111111111,0.3333333333333333,0.0625,24,36,96,0,0,0.8307692307692308,0
clustered_10_0.2_0.05,Random,42,0.2222222222222222,0.3333333333333333,0.05,26,36,94,1,-2,0.8307692307692308,0
clustered_10_0.2_0.05,Random,43,0.0,0.0,0.0,26,34,96,0,0,0.8461538461538461,0
clustered_10_0.2_0.05,Random,44,0.0,0.0,0.0,25,34,97,0,0,0.8461538461538461,0
clustered_10_0.2_0.05,Random,45,0.1111111111111111,0.3333333333333333,0.1,27,31,98,1,2,0.8615384615384616,0
clustered_10_0.2_0.05,Random,46,0.0,0.0,0.0,28,26,102,0,0,0.8769230769230769,0
clustered_10_0.2_0.05,Random,47,0.1111111111111111,0.3333333333333333,0.07692307692307693,25,26,105,0,0,0.8769230769230769,0
clustered_10_0.2_0.05,Random,48,0.0,0.0,0.0,26,26,104,1,0,0.8769230769230769,0
clustered_10_0.2_0.05,Random,49,0.0,0.0,0.0,28,26,102,0,0,0.8769230769230769,0
clustered_10_0.2_0.05,Random,50,0.0,0.0,0.0,30,26,100,0,0,0.8769230769230769,0
clustered_10_0.2_0.05,Random,51,0.0,0.0,0.0,30,26,100,0,0,0.8769230769230769,0
