Average of AverageDistance,Column Labels,,,,,,,,,
Row Labels,MIP_0.0_0.0_1.0,MIP_0.0_1.0_0.0,MIP_0.4_0.4_0.2,MIP_0.5_0.3_0.2,MIP_1.0_0.0_0.0,MostChangedInterval (5),MostChangedInterval (500),Random,RecentChanges,Grand Total
0,0.468333333,0.514444444,0.52,0.522222222,0.490555556,0.438888889,0.430555556,0.442777778,0.397777778,0.469506173
1,0.608888889,0.628888889,0.738888889,0.726666667,0.688888889,0.457777778,0.507777778,0.494444444,0.451111111,0.589259259
2,0.602222222,0.62,0.713333333,0.686666667,0.691111111,0.534444444,0.558888889,0.529444444,0.531111111,0.607469136
3,0.575555556,0.631111111,0.680555556,0.691111111,0.617777778,0.495555556,0.506666667,0.512222222,0.477222222,0.576419753
4,0.571111111,0.576666667,0.636666667,0.668888889,0.654444444,0.534444444,0.545555556,0.517222222,0.49,0.577222222
5,0.643333333,0.654444444,0.59,0.606666667,0.557777778,0.571111111,0.493333333,0.467222222,0.492222222,0.564012346
6,0.632222222,0.666666667,0.748888889,0.69,0.616111111,0.542222222,0.574444444,0.488333333,0.51,0.607654321
7,0.567777778,0.656666667,0.704444444,0.692222222,0.665555556,0.48,0.535555556,0.513888889,0.467777778,0.587098765
8,0.671111111,0.657777778,0.673333333,0.685555556,0.675555556,0.563333333,0.561111111,0.511111111,0.526666667,0.613950617
9,0.530555556,0.632777778,0.644444444,0.585555556,0.581111111,0.57,0.558888889,0.497777778,0.497777778,0.56654321
10,0.525555556,0.714444444,0.735555556,0.732222222,0.644444444,0.496666667,0.514444444,0.468333333,0.501111111,0.592530864
11,0.56,0.634444444,0.657777778,0.653333333,0.625555556,0.525555556,0.538888889,0.524444444,0.486666667,0.578518519
12,0.594444444,0.635555556,0.748888889,0.72,0.586666667,0.528888889,0.573333333,0.489444444,0.527777778,0.600555556
13,0.532222222,0.704444444,0.732222222,0.702222222,0.65,0.525,0.54,0.526111111,0.550555556,0.606975309
14,0.51,0.635555556,0.691111111,0.69,0.618888889,0.472222222,0.508888889,0.474444444,0.467777778,0.563209877
15,0.513333333,0.634444444,0.652222222,0.631111111,0.571111111,0.495,0.526666667,0.517222222,0.467222222,0.556481481
16,0.511111111,0.636666667,0.708888889,0.742222222,0.588888889,0.477777778,0.573333333,0.487777778,0.441111111,0.574197531
17,0.604444444,0.71,0.687777778,0.7,0.585,0.492222222,0.502222222,0.508888889,0.484444444,0.586111111
18,0.593333333,0.786666667,0.755555556,0.752222222,0.587777778,0.481111111,0.585555556,0.495555556,0.488333333,0.614012346
19,0.601111111,0.73,0.72,0.693333333,0.595555556,0.568888889,0.548888889,0.522222222,0.516666667,0.610740741
20,0.577777778,0.701111111,0.746666667,0.707777778,0.591111111,0.476111111,0.543333333,0.491666667,0.435,0.585617284
21,0.614444444,0.75,0.753333333,0.713333333,0.602222222,0.482222222,0.55,0.485,0.491666667,0.604691358
22,0.582222222,0.696666667,0.762222222,0.746666667,0.63,0.556666667,0.604444444,0.511111111,0.496666667,0.620740741
23,0.54,0.726666667,0.742222222,0.745555556,0.564444444,0.483333333,0.533333333,0.521111111,0.48,0.592962963
24,0.514444444,0.663333333,0.752222222,0.735555556,0.642777778,0.467777778,0.533888889,0.523888889,0.447222222,0.586790123
25,0.537777778,0.688888889,0.728888889,0.701111111,0.642222222,0.53,0.586666667,0.495555556,0.505555556,0.601851852
26,0.524444444,0.603333333,0.652222222,0.641111111,0.57,0.482222222,0.563333333,0.498888889,0.459444444,0.555
27,0.513333333,0.687777778,0.666666667,0.667777778,0.626666667,0.480555556,0.512777778,0.469444444,0.441666667,0.562962963
28,0.547777778,0.711111111,0.703333333,0.7,0.615555556,0.518888889,0.573333333,0.539444444,0.553333333,0.606975309
29,0.537222222,0.667777778,0.684444444,0.702222222,0.609444444,0.470555556,0.545555556,0.494444444,0.426666667,0.570925926
30,0.524444444,0.655555556,0.683333333,0.671111111,0.622222222,0.514444444,0.546666667,0.510555556,0.48,0.578703704
31,0.504444444,0.61,0.626666667,0.65,0.586111111,0.507777778,0.558888889,0.474444444,0.518888889,0.559691358
32,0.566666667,0.707777778,0.738888889,0.758888889,0.636666667,0.512222222,0.58,0.487777778,0.537777778,0.614074074
33,0.547777778,0.6,0.636666667,0.643333333,0.550555556,0.511666667,0.584444444,0.481666667,0.536666667,0.565864198
34,0.5,0.655555556,0.695555556,0.687777778,0.591111111,0.513333333,0.548888889,0.500555556,0.488888889,0.575740741
35,0.497777778,0.622222222,0.664444444,0.651111111,0.597777778,0.513333333,0.56,0.512222222,0.488888889,0.567530864
36,0.512222222,0.638888889,0.692222222,0.666666667,0.602222222,0.494444444,0.58,0.478888889,0.501111111,0.574074074
37,0.498888889,0.67,0.702222222,0.725555556,0.587777778,0.469444444,0.59,0.508333333,0.472222222,0.580493827
38,0.567777778,0.673333333,0.694444444,0.71,0.571111111,0.54,0.578888889,0.492222222,0.54,0.596419753
