graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
9graph,Random,0,6,0,15,1.0
9graph,Random,1,9,0,12,1.0
9graph,Random,2,8,0,13,1.0
9graph,Random,3,5,0,16,1.0
9graph,Random,4,5,0,16,1.0
9graph,Random,5,6,0,15,1.0
9graph,Random,6,5,0,16,1.0
9graph,Random,7,3,0,18,1.0
9graph,Random,8,3,0,18,1.0
9graph,Random,9,3,0,18,1.0
9graph,Random,10,4,0,17,1.0
9graph,Random,11,6,0,15,1.0
9graph,Random,12,6,0,15,1.0
9graph,Random,13,8,0,13,1.0
9graph,Random,14,5,0,16,1.0
9graph,Random,15,6,0,15,1.0
9graph,Random,16,6,0,15,1.0
9graph,Random,17,7,0,14,1.0
9graph,Random,18,6,0,15,1.0
9graph,Random,19,6,0,15,1.0
9graph,Random,20,4,0,17,1.0
9graph,Random,21,4,0,17,1.0
9graph,Random,22,3,0,18,1.0
9graph,Random,23,3,0,18,1.0
9graph,Random,24,4,0,17,1.0
9graph,Random,25,4,0,17,1.0
9graph,Random,26,2,0,19,1.0
9graph,Random,27,4,0,17,1.0
9graph,Random,28,3,0,18,1.0
9graph,Random,29,4,0,17,1.0
9graph,Random,30,4,0,17,1.0
9graph,Random,31,6,0,15,1.0
9graph,Random,32,3,0,18,1.0
9graph,Random,33,4,0,17,1.0
9graph,Random,34,5,0,16,1.0
9graph,Random,35,5,0,16,1.0
9graph,Random,36,5,0,16,1.0
9graph,Random,37,8,0,13,1.0
9graph,Random,38,7,0,14,1.0
9graph,Random,39,8,0,13,1.0
9graph,Random,40,2,0,19,1.0
9graph,Random,41,2,0,19,1.0
9graph,Random,42,4,0,17,1.0
9graph,Random,43,4,0,17,1.0
9graph,Random,44,5,0,16,1.0
9graph,Random,45,2,0,19,1.0
9graph,Random,46,5,0,16,1.0
9graph,Random,47,5,0,16,1.0
9graph,Random,48,5,0,16,1.0
9graph,Random,49,2,0,19,1.0
9graph,Random,50,4,0,17,1.0
9graph,Random,51,4,0,17,1.0
9graph,Random,52,7,0,14,1.0
9graph,Random,53,7,0,14,1.0
9graph,Random,54,6,0,15,1.0
9graph,Random,55,6,0,15,1.0
9graph,Random,56,7,0,14,1.0
9graph,Random,57,7,0,14,1.0
9graph,Random,58,10,0,11,1.0
