graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
binomial_30_05_0,Random,0,77,0,141,1.0
binomial_30_05_0,Random,1,74,0,144,1.0
binomial_30_05_0,Random,2,67,0,151,1.0
binomial_30_05_0,Random,3,61,0,157,1.0
binomial_30_05_0,Random,4,61,0,157,1.0
binomial_30_05_0,Random,5,58,0,160,1.0
binomial_30_05_0,Random,6,58,0,160,1.0
binomial_30_05_0,Random,7,58,0,160,1.0
binomial_30_05_0,Random,8,59,0,159,1.0
binomial_30_05_0,Random,9,64,0,154,1.0
binomial_30_05_0,Random,10,62,0,156,1.0
binomial_30_05_0,Random,11,65,0,153,1.0
binomial_30_05_0,Random,12,65,0,153,1.0
binomial_30_05_0,Random,13,60,0,158,1.0
binomial_30_05_0,Random,14,58,0,160,1.0
binomial_30_05_0,Random,15,61,0,157,1.0
binomial_30_05_0,Random,16,57,0,161,1.0
binomial_30_05_0,Random,17,55,0,163,1.0
binomial_30_05_0,Random,18,59,0,159,1.0
binomial_30_05_0,Random,19,57,0,161,1.0
binomial_30_05_0,Random,20,56,0,162,1.0
binomial_30_05_0,Random,21,56,0,162,1.0
binomial_30_05_0,Random,22,59,0,159,1.0
binomial_30_05_0,Random,23,59,0,159,1.0
binomial_30_05_0,Random,24,59,0,159,1.0
binomial_30_05_0,Random,25,60,0,158,1.0
binomial_30_05_0,Random,26,60,0,158,1.0
binomial_30_05_0,Random,27,60,0,158,1.0
binomial_30_05_0,Random,28,57,0,161,1.0
binomial_30_05_0,Random,29,65,0,153,1.0
binomial_30_05_0,Random,30,59,0,159,1.0
binomial_30_05_0,Random,31,57,0,161,1.0
binomial_30_05_0,Random,32,56,0,162,1.0
binomial_30_05_0,Random,33,60,0,158,1.0
binomial_30_05_0,Random,34,57,0,161,1.0
binomial_30_05_0,Random,35,64,0,154,1.0
binomial_30_05_0,Random,36,58,0,160,1.0
binomial_30_05_0,Random,37,54,0,164,1.0
binomial_30_05_0,Random,38,54,0,164,1.0
binomial_30_05_0,Random,39,57,0,161,1.0
binomial_30_05_0,Random,40,56,0,162,1.0
binomial_30_05_0,Random,41,56,0,162,1.0
binomial_30_05_0,Random,42,54,0,164,1.0
binomial_30_05_0,Random,43,56,0,162,1.0
binomial_30_05_0,Random,44,54,0,164,1.0
binomial_30_05_0,Random,45,55,0,163,1.0
binomial_30_05_0,Random,46,61,0,157,1.0
binomial_30_05_0,Random,47,57,0,161,1.0
binomial_30_05_0,Random,48,54,0,164,1.0
binomial_30_05_0,Random,49,61,0,157,1.0
binomial_30_05_0,Random,50,68,0,150,1.0
binomial_30_05_0,Random,51,65,0,153,1.0
binomial_30_05_0,Random,52,63,0,155,1.0
binomial_30_05_0,Random,53,61,0,157,1.0
binomial_30_05_0,Random,54,68,0,150,1.0
binomial_30_05_0,Random,55,66,0,152,1.0
binomial_30_05_0,Random,56,64,0,154,1.0
binomial_30_05_0,Random,57,68,0,150,1.0
binomial_30_05_0,Random,58,70,0,148,1.0
binomial_30_05_0,Random,59,70,0,148,1.0
binomial_30_05_0,Random,60,71,0,147,1.0
binomial_30_05_0,Random,61,70,0,148,1.0
binomial_30_05_0,Random,62,63,0,155,1.0
binomial_30_05_0,Random,63,64,0,154,1.0
binomial_30_05_0,Random,64,54,0,164,1.0
binomial_30_05_0,Random,65,56,0,162,1.0
binomial_30_05_0,Random,66,56,0,162,1.0
binomial_30_05_0,Random,67,54,0,164,1.0
binomial_30_05_0,Random,68,56,0,162,1.0
binomial_30_05_0,Random,69,56,0,162,1.0
binomial_30_05_0,Random,70,51,0,167,1.0
binomial_30_05_0,Random,71,52,0,166,1.0
binomial_30_05_0,Random,72,49,0,169,1.0
binomial_30_05_0,Random,73,49,0,169,1.0
binomial_30_05_0,Random,74,53,0,165,1.0
binomial_30_05_0,Random,75,52,0,166,1.0
binomial_30_05_0,Random,76,50,0,168,1.0
binomial_30_05_0,Random,77,55,0,163,1.0
binomial_30_05_0,Random,78,53,0,165,1.0
binomial_30_05_0,Random,79,53,0,165,1.0
binomial_30_05_0,Random,80,53,0,165,1.0
binomial_30_05_0,Random,81,53,0,165,1.0
binomial_30_05_0,Random,82,53,0,165,1.0
binomial_30_05_0,Random,83,51,0,167,1.0
binomial_30_05_0,Random,84,50,0,168,1.0
binomial_30_05_0,Random,85,51,0,167,1.0
binomial_30_05_0,Random,86,51,0,167,1.0
binomial_30_05_0,Random,87,49,0,169,1.0
binomial_30_05_0,Random,88,47,0,171,1.0
binomial_30_05_0,Random,89,47,0,171,1.0
binomial_30_05_0,Random,90,44,0,174,1.0
binomial_30_05_0,Random,91,48,0,170,1.0
binomial_30_05_0,Random,92,48,0,170,1.0
binomial_30_05_0,Random,93,52,0,166,1.0
binomial_30_05_0,Random,94,50,0,168,1.0
binomial_30_05_0,Random,95,50,0,168,1.0
binomial_30_05_0,Random,96,50,0,168,1.0
binomial_30_05_0,Random,97,55,0,163,1.0
binomial_30_05_0,Random,98,51,0,167,1.0
binomial_30_05_0,Random,99,64,0,154,1.0
binomial_30_05_0,Random,100,58,0,160,1.0
binomial_30_05_0,Random,101,53,0,165,1.0
binomial_30_05_0,Random,102,49,0,169,1.0
binomial_30_05_0,Random,103,49,0,169,1.0
binomial_30_05_0,Random,104,47,0,171,1.0
binomial_30_05_0,Random,105,49,0,169,1.0
binomial_30_05_0,Random,106,48,0,170,1.0
binomial_30_05_0,Random,107,49,0,169,1.0
binomial_30_05_0,Random,108,45,0,173,1.0
binomial_30_05_0,Random,109,47,0,171,1.0
binomial_30_05_0,Random,110,47,0,171,1.0
binomial_30_05_0,Random,111,49,0,169,1.0
binomial_30_05_0,Random,112,49,0,169,1.0
binomial_30_05_0,Random,113,54,0,164,1.0
binomial_30_05_0,Random,114,54,0,164,1.0
binomial_30_05_0,Random,115,49,0,169,1.0
binomial_30_05_0,Random,116,51,0,167,1.0
binomial_30_05_0,Random,117,49,0,169,1.0
binomial_30_05_0,Random,118,52,0,166,1.0
binomial_30_05_0,Random,119,52,0,166,1.0
binomial_30_05_0,Random,120,51,0,167,1.0
binomial_30_05_0,Random,121,51,0,167,1.0
binomial_30_05_0,Random,122,53,0,165,1.0
binomial_30_05_0,Random,123,51,0,167,1.0
binomial_30_05_0,Random,124,51,0,167,1.0
binomial_30_05_0,Random,125,52,0,166,1.0
binomial_30_05_0,Random,126,54,0,164,1.0
binomial_30_05_0,Random,127,56,0,162,1.0
binomial_30_05_0,Random,128,53,0,165,1.0
binomial_30_05_0,Random,129,53,0,165,1.0
binomial_30_05_0,Random,130,51,0,167,1.0
binomial_30_05_0,Random,131,47,0,171,1.0
binomial_30_05_0,Random,132,47,0,171,1.0
binomial_30_05_0,Random,133,46,0,172,1.0
binomial_30_05_0,Random,134,45,0,173,1.0
binomial_30_05_0,Random,135,47,0,171,1.0
binomial_30_05_0,Random,136,46,0,172,1.0
binomial_30_05_0,Random,137,50,0,168,1.0
binomial_30_05_0,Random,138,53,0,165,1.0
binomial_30_05_0,Random,139,54,0,164,1.0
binomial_30_05_0,Random,140,54,0,164,1.0
binomial_30_05_0,Random,141,52,0,166,1.0
binomial_30_05_0,Random,142,52,0,166,1.0
binomial_30_05_0,Random,143,54,0,164,1.0
binomial_30_05_0,Random,144,55,0,163,1.0
binomial_30_05_0,Random,145,55,0,163,1.0
binomial_30_05_0,Random,146,56,0,162,1.0
binomial_30_05_0,Random,147,53,0,165,1.0
binomial_30_05_0,Random,148,54,0,164,1.0
binomial_30_05_0,Random,149,54,0,164,1.0
binomial_30_05_0,Random,150,54,0,164,1.0
binomial_30_05_0,Random,151,58,0,160,1.0
binomial_30_05_0,Random,152,59,0,159,1.0
binomial_30_05_0,Random,153,59,0,159,1.0
binomial_30_05_0,Random,154,63,0,155,1.0
binomial_30_05_0,Random,155,63,0,155,1.0
binomial_30_05_0,Random,156,61,0,157,1.0
binomial_30_05_0,Random,157,56,0,162,1.0
binomial_30_05_0,Random,158,57,0,161,1.0
binomial_30_05_0,Random,159,60,0,158,1.0
binomial_30_05_0,Random,160,72,0,146,1.0
binomial_30_05_0,Random,161,71,0,147,1.0
binomial_30_05_0,Random,162,73,0,145,1.0
binomial_30_05_0,Random,163,66,0,152,1.0
binomial_30_05_0,Random,164,73,0,145,1.0
binomial_30_05_0,Random,165,74,0,144,1.0
binomial_30_05_0,Random,166,66,0,152,1.0
binomial_30_05_0,Random,167,76,0,142,1.0
binomial_30_05_0,Random,168,67,0,151,1.0
binomial_30_05_0,Random,169,65,0,153,1.0
binomial_30_05_0,Random,170,61,0,157,1.0
binomial_30_05_0,Random,171,61,0,157,1.0
binomial_30_05_0,Random,172,61,0,157,1.0
binomial_30_05_0,Random,173,58,0,160,1.0
binomial_30_05_0,Random,174,58,0,160,1.0
binomial_30_05_0,Random,175,57,0,161,1.0
binomial_30_05_0,Random,176,54,0,164,1.0
binomial_30_05_0,Random,177,54,0,164,1.0
binomial_30_05_0,Random,178,56,0,162,1.0
binomial_30_05_0,Random,179,56,0,162,1.0
binomial_30_05_0,Random,180,54,0,164,1.0
binomial_30_05_0,Random,181,55,0,163,1.0
binomial_30_05_0,Random,182,58,0,160,1.0
binomial_30_05_0,Random,183,58,0,160,1.0
binomial_30_05_0,Random,184,58,0,160,1.0
binomial_30_05_0,Random,185,56,0,162,1.0
binomial_30_05_0,Random,186,54,0,164,1.0
binomial_30_05_0,Random,187,54,0,164,1.0
binomial_30_05_0,Random,188,54,0,164,1.0
binomial_30_05_0,Random,189,62,0,156,1.0
binomial_30_05_0,Random,190,54,0,164,1.0
binomial_30_05_0,Random,191,54,0,164,1.0
binomial_30_05_0,Random,192,57,0,161,1.0
binomial_30_05_0,Random,193,59,0,159,1.0
binomial_30_05_0,Random,194,54,0,164,1.0
binomial_30_05_0,Random,195,54,0,164,1.0
binomial_30_05_0,Random,196,53,0,165,1.0
binomial_30_05_0,Random,197,49,0,169,1.0
binomial_30_05_0,Random,198,51,0,167,1.0
binomial_30_05_0,Random,199,51,0,167,1.0
binomial_30_05_0,MostChanged,0,77,0,141,1.0
binomial_30_05_0,MostChanged,1,76,0,142,1.0
binomial_30_05_0,MostChanged,2,71,0,147,1.0
binomial_30_05_0,MostChanged,3,70,0,148,1.0
binomial_30_05_0,MostChanged,4,71,0,147,1.0
binomial_30_05_0,MostChanged,5,68,0,150,1.0
binomial_30_05_0,MostChanged,6,64,0,154,1.0
binomial_30_05_0,MostChanged,7,71,0,147,1.0
binomial_30_05_0,MostChanged,8,75,0,143,1.0
binomial_30_05_0,MostChanged,9,65,0,153,1.0
binomial_30_05_0,MostChanged,10,62,0,156,1.0
binomial_30_05_0,MostChanged,11,59,0,159,1.0
binomial_30_05_0,MostChanged,12,60,0,158,1.0
binomial_30_05_0,MostChanged,13,60,0,158,1.0
