graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_01_0,Random,0,0,46,0,0.0
random_30_01_0,Random,1,0,40,6,0.16666666666666666
random_30_01_0,Random,2,0,34,12,0.3333333333333333
random_30_01_0,Random,3,0,28,18,0.4666666666666667
random_30_01_0,Random,4,0,24,22,0.5666666666666667
random_30_01_0,Random,5,3,24,19,0.5666666666666667
random_30_01_0,Random,6,4,23,19,0.6
random_30_01_0,Random,7,6,19,21,0.7
random_30_01_0,Random,8,4,16,26,0.7333333333333333
random_30_01_0,Random,9,5,12,29,0.8
random_30_01_0,Random,10,6,10,30,0.8333333333333334
random_30_01_0,Random,11,6,4,36,0.9333333333333333
random_30_01_0,Random,12,4,4,38,0.9333333333333333
random_30_01_0,Random,13,7,2,37,0.9666666666666667
random_30_01_0,Random,14,8,2,36,0.9666666666666667
random_30_01_0,Random,15,6,2,38,0.9666666666666667
random_30_01_0,Random,16,10,2,34,0.9666666666666667
random_30_01_0,Random,17,9,2,35,0.9666666666666667
random_30_01_0,Random,18,6,2,38,0.9666666666666667
random_30_01_0,Random,19,8,2,36,0.9666666666666667
random_30_01_0,Random,20,4,2,40,0.9666666666666667
random_30_01_0,Random,21,7,2,37,0.9666666666666667
random_30_01_0,Random,22,5,2,39,0.9666666666666667
random_30_01_0,Random,23,5,2,39,0.9666666666666667
random_30_01_0,Random,24,7,2,37,0.9666666666666667
random_30_01_0,Random,25,6,2,38,0.9666666666666667
random_30_01_0,Random,26,7,2,37,0.9666666666666667
random_30_01_0,Random,27,5,2,39,0.9666666666666667
random_30_01_0,Random,28,7,2,37,0.9666666666666667
random_30_01_0,Random,29,11,0,35,1.0
random_30_01_0,Random,30,5,0,41,1.0
random_30_01_0,Random,31,7,0,39,1.0
random_30_01_0,Random,32,5,0,41,1.0
random_30_01_0,Random,33,7,0,39,1.0
random_30_01_0,Random,34,8,0,38,1.0
random_30_01_0,Random,35,13,0,33,1.0
random_30_01_0,Random,36,11,0,35,1.0
random_30_01_0,Random,37,11,0,35,1.0
random_30_01_0,Random,38,11,0,35,1.0
random_30_01_0,Random,39,7,0,39,1.0
random_30_01_0,Random,40,7,0,39,1.0
random_30_01_0,Random,41,6,0,40,1.0
random_30_01_0,Random,42,5,0,41,1.0
random_30_01_0,Random,43,7,0,39,1.0
random_30_01_0,Random,44,9,0,37,1.0
random_30_01_0,Random,45,15,0,31,1.0
random_30_01_0,Random,46,12,0,34,1.0
random_30_01_0,Random,47,9,0,37,1.0
random_30_01_0,Random,48,10,0,36,1.0
random_30_01_0,Random,49,11,0,35,1.0
random_30_01_0,Random,50,7,0,39,1.0
random_30_01_0,Random,51,11,0,35,1.0
random_30_01_0,Random,52,11,0,35,1.0
random_30_01_0,Random,53,10,0,36,1.0
random_30_01_0,Random,54,6,0,40,1.0
random_30_01_0,Random,55,12,0,34,1.0
random_30_01_0,Random,56,10,0,36,1.0
random_30_01_0,Random,57,8,0,38,1.0
random_30_01_0,Random,58,7,0,39,1.0
random_30_01_0,Random,59,3,0,43,1.0
random_30_01_0,Random,60,6,0,40,1.0
random_30_01_0,Random,61,4,0,42,1.0
random_30_01_0,Random,62,5,0,41,1.0
