graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_03_0,Random,0,0,119,0,0.0
random_30_03_0,Random,1,3,116,0,0.1
random_30_03_0,Random,2,3,111,5,0.2
random_30_03_0,Random,3,5,105,9,0.26666666666666666
random_30_03_0,Random,4,2,99,18,0.3333333333333333
random_30_03_0,Random,5,2,99,18,0.3333333333333333
random_30_03_0,Random,6,2,95,22,0.36666666666666664
random_30_03_0,Random,7,1,95,23,0.36666666666666664
random_30_03_0,Random,8,1,95,23,0.36666666666666664
random_30_03_0,Random,9,1,95,23,0.36666666666666664
random_30_03_0,Random,10,1,95,23,0.36666666666666664
random_30_03_0,Random,11,1,95,23,0.36666666666666664
random_30_03_0,Random,12,1,95,23,0.36666666666666664
random_30_03_0,Random,13,2,95,22,0.36666666666666664
random_30_03_0,Random,14,2,95,22,0.36666666666666664
random_30_03_0,Random,15,2,95,22,0.36666666666666664
random_30_03_0,Random,16,2,95,22,0.36666666666666664
random_30_03_0,Random,17,2,95,22,0.36666666666666664
random_30_03_0,Random,18,2,95,22,0.36666666666666664
random_30_03_0,Random,19,2,95,22,0.36666666666666664
random_30_03_0,Random,20,2,95,22,0.36666666666666664
random_30_03_0,Random,21,2,95,22,0.36666666666666664
random_30_03_0,Random,22,2,95,22,0.36666666666666664
random_30_03_0,Random,23,2,95,22,0.36666666666666664
random_30_03_0,Random,24,2,95,22,0.36666666666666664
random_30_03_0,Random,25,2,95,22,0.36666666666666664
random_30_03_0,Random,26,2,95,22,0.36666666666666664
random_30_03_0,Random,27,2,95,22,0.36666666666666664
random_30_03_0,Random,28,2,95,22,0.36666666666666664
random_30_03_0,Random,29,2,95,22,0.36666666666666664
random_30_03_0,Random,30,2,95,22,0.36666666666666664
random_30_03_0,Random,31,2,95,22,0.36666666666666664
random_30_03_0,Random,32,2,95,22,0.36666666666666664
random_30_03_0,Random,33,2,95,22,0.36666666666666664
random_30_03_0,Random,34,2,95,22,0.36666666666666664
random_30_03_0,Random,35,2,95,22,0.36666666666666664
random_30_03_0,Random,36,2,95,22,0.36666666666666664
random_30_03_0,Random,37,2,95,22,0.36666666666666664
random_30_03_0,Random,38,2,95,22,0.36666666666666664
random_30_03_0,Random,39,2,95,22,0.36666666666666664
random_30_03_0,Random,40,2,95,22,0.36666666666666664
random_30_03_0,Random,41,2,95,22,0.36666666666666664
random_30_03_0,Random,42,2,95,22,0.36666666666666664
random_30_03_0,Random,43,2,95,22,0.36666666666666664
random_30_03_0,Random,44,2,95,22,0.36666666666666664
random_30_03_0,Random,45,2,95,22,0.36666666666666664
random_30_03_0,Random,46,2,95,22,0.36666666666666664
random_30_03_0,Random,47,2,95,22,0.36666666666666664
random_30_03_0,Random,48,2,95,22,0.36666666666666664
random_30_03_0,Random,49,2,95,22,0.36666666666666664
random_30_03_0,Random,50,2,95,22,0.36666666666666664
random_30_03_0,Random,51,2,95,22,0.36666666666666664
random_30_03_0,Random,52,2,95,22,0.36666666666666664
random_30_03_0,Random,53,2,95,22,0.36666666666666664
random_30_03_0,Random,54,2,95,22,0.36666666666666664
random_30_03_0,Random,55,2,95,22,0.36666666666666664
random_30_03_0,Random,56,2,95,22,0.36666666666666664
random_30_03_0,Random,57,2,95,22,0.36666666666666664
random_30_03_0,Random,58,2,95,22,0.36666666666666664
random_30_03_0,Random,59,2,95,22,0.36666666666666664
random_30_03_0,Random,60,2,95,22,0.36666666666666664
random_30_03_0,Random,61,2,95,22,0.36666666666666664
random_30_03_0,Random,62,2,95,22,0.36666666666666664
random_30_03_0,Random,63,2,95,22,0.36666666666666664
random_30_03_0,Random,64,2,95,22,0.36666666666666664
random_30_03_0,Random,65,2,95,22,0.36666666666666664
random_30_03_0,Random,66,2,95,22,0.36666666666666664
random_30_03_0,Random,67,2,95,22,0.36666666666666664
random_30_03_0,Random,68,2,95,22,0.36666666666666664
random_30_03_0,Random,69,2,95,22,0.36666666666666664
random_30_03_0,Random,70,2,95,22,0.36666666666666664
random_30_03_0,Random,71,2,95,22,0.36666666666666664
random_30_03_0,Random,72,2,95,22,0.36666666666666664
random_30_03_0,Random,73,2,95,22,0.36666666666666664
random_30_03_0,Random,74,2,95,22,0.36666666666666664
random_30_03_0,Random,75,2,95,22,0.36666666666666664
random_30_03_0,Random,76,2,95,22,0.36666666666666664
random_30_03_0,Random,77,2,95,22,0.36666666666666664
random_30_03_0,Random,78,2,95,22,0.36666666666666664
random_30_03_0,Random,79,2,95,22,0.36666666666666664
random_30_03_0,Random,80,2,95,22,0.36666666666666664
random_30_03_0,Random,81,2,95,22,0.36666666666666664
random_30_03_0,Random,82,2,95,22,0.36666666666666664
random_30_03_0,Random,83,2,95,22,0.36666666666666664
random_30_03_0,Random,84,2,95,22,0.36666666666666664
random_30_03_0,Random,85,2,95,22,0.36666666666666664
random_30_03_0,Random,86,2,95,22,0.36666666666666664
random_30_03_0,Random,87,2,95,22,0.36666666666666664
random_30_03_0,Random,88,2,95,22,0.36666666666666664
random_30_03_0,Random,89,2,95,22,0.36666666666666664
random_30_03_0,Random,90,2,95,22,0.36666666666666664
random_30_03_0,Random,91,2,95,22,0.36666666666666664
random_30_03_0,Random,92,2,95,22,0.36666666666666664
