graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_03_0,Random,0,45,0,92,1.0
random_30_03_0,Random,1,43,0,94,1.0
random_30_03_0,Random,2,41,0,96,1.0
random_30_03_0,Random,3,37,0,100,1.0
random_30_03_0,Random,4,33,0,104,1.0
random_30_03_0,Random,5,31,0,106,1.0
random_30_03_0,Random,6,36,0,101,1.0
random_30_03_0,Random,7,32,0,105,1.0
random_30_03_0,Random,8,36,0,101,1.0
random_30_03_0,Random,9,35,0,102,1.0
random_30_03_0,Random,10,42,0,95,1.0
random_30_03_0,Random,11,33,0,104,1.0
random_30_03_0,Random,12,28,0,109,1.0
random_30_03_0,Random,13,25,0,112,1.0
random_30_03_0,Random,14,23,0,114,1.0
random_30_03_0,Random,15,19,0,118,1.0
random_30_03_0,Random,16,23,0,114,1.0
random_30_03_0,Random,17,22,0,115,1.0
random_30_03_0,Random,18,27,0,110,1.0
random_30_03_0,Random,19,31,0,106,1.0
random_30_03_0,Random,20,31,0,106,1.0
random_30_03_0,Random,21,34,0,103,1.0
random_30_03_0,Random,22,33,0,104,1.0
random_30_03_0,Random,23,29,0,108,1.0
random_30_03_0,Random,24,29,0,108,1.0
random_30_03_0,Random,25,31,0,106,1.0
random_30_03_0,Random,26,27,0,110,1.0
random_30_03_0,Random,27,25,0,112,1.0
random_30_03_0,Random,28,26,0,111,1.0
random_30_03_0,Random,29,22,0,115,1.0
random_30_03_0,Random,30,22,0,115,1.0
random_30_03_0,Random,31,22,0,115,1.0
random_30_03_0,Random,32,25,0,112,1.0
random_30_03_0,Random,33,22,0,115,1.0
random_30_03_0,Random,34,22,0,115,1.0
random_30_03_0,Random,35,23,0,114,1.0
random_30_03_0,Random,36,24,0,113,1.0
random_30_03_0,Random,37,22,0,115,1.0
random_30_03_0,Random,38,22,0,115,1.0
random_30_03_0,Random,39,23,0,114,1.0
random_30_03_0,Random,40,21,0,116,1.0
random_30_03_0,Random,41,22,0,115,1.0
random_30_03_0,Random,42,24,0,113,1.0
random_30_03_0,Random,43,23,0,114,1.0
random_30_03_0,Random,44,22,0,115,1.0
random_30_03_0,Random,45,26,0,111,1.0
random_30_03_0,Random,46,26,0,111,1.0
random_30_03_0,Random,47,25,0,112,1.0
random_30_03_0,Random,48,22,0,115,1.0
random_30_03_0,Random,49,23,0,114,1.0
random_30_03_0,Random,50,20,0,117,1.0
random_30_03_0,Random,51,22,0,115,1.0
random_30_03_0,Random,52,22,0,115,1.0
random_30_03_0,Random,53,25,0,112,1.0
random_30_03_0,Random,54,23,0,114,1.0
random_30_03_0,Random,55,19,0,118,1.0
random_30_03_0,Random,56,18,0,119,1.0
random_30_03_0,Random,57,18,0,119,1.0
random_30_03_0,Random,58,20,0,117,1.0
random_30_03_0,Random,59,20,0,117,1.0
random_30_03_0,Random,60,21,0,116,1.0
random_30_03_0,Random,61,23,0,114,1.0
random_30_03_0,Random,62,23,0,114,1.0
random_30_03_0,Random,63,22,0,115,1.0
random_30_03_0,Random,64,22,0,115,1.0
random_30_03_0,Random,65,21,0,116,1.0
random_30_03_0,Random,66,19,0,118,1.0
random_30_03_0,Random,67,20,0,117,1.0
random_30_03_0,Random,68,20,0,117,1.0
random_30_03_0,Random,69,18,0,119,1.0
random_30_03_0,Random,70,21,0,116,1.0
random_30_03_0,Random,71,26,0,111,1.0
random_30_03_0,Random,72,25,0,112,1.0
random_30_03_0,Random,73,27,0,110,1.0
random_30_03_0,Random,74,26,0,111,1.0
random_30_03_0,Random,75,21,0,116,1.0
random_30_03_0,Random,76,18,0,119,1.0
random_30_03_0,Random,77,18,0,119,1.0
random_30_03_0,Random,78,18,0,119,1.0
random_30_03_0,Random,79,18,0,119,1.0
random_30_03_0,Random,80,20,0,117,1.0
random_30_03_0,Random,81,22,0,115,1.0
random_30_03_0,Random,82,19,0,118,1.0
random_30_03_0,Random,83,20,0,117,1.0
random_30_03_0,Random,84,20,0,117,1.0
random_30_03_0,Random,85,20,0,117,1.0
random_30_03_0,Random,86,23,0,114,1.0
random_30_03_0,Random,87,24,0,113,1.0
random_30_03_0,Random,88,24,0,113,1.0
random_30_03_0,Random,89,24,0,113,1.0
random_30_03_0,Random,90,26,0,111,1.0
random_30_03_0,Random,91,26,0,111,1.0
random_30_03_0,Random,92,24,0,113,1.0
random_30_03_0,Random,93,24,0,113,1.0
random_30_03_0,Random,94,24,0,113,1.0
random_30_03_0,Random,95,19,0,118,1.0
random_30_03_0,Random,96,19,0,118,1.0
random_30_03_0,Random,97,20,0,117,1.0
random_30_03_0,Random,98,19,0,118,1.0
random_30_03_0,Random,99,19,0,118,1.0
random_30_03_0,Random,100,26,0,111,1.0
random_30_03_0,Random,101,26,0,111,1.0
random_30_03_0,Random,102,24,0,113,1.0
random_30_03_0,Random,103,24,0,113,1.0
random_30_03_0,Random,104,24,0,113,1.0
random_30_03_0,Random,105,19,0,118,1.0
random_30_03_0,Random,106,16,0,121,1.0
random_30_03_0,Random,107,17,0,120,1.0
random_30_03_0,Random,108,19,0,118,1.0
random_30_03_0,Random,109,20,0,117,1.0
random_30_03_0,Random,110,25,0,112,1.0
random_30_03_0,Random,111,24,0,113,1.0
random_30_03_0,Random,112,24,0,113,1.0
random_30_03_0,Random,113,21,0,116,1.0
random_30_03_0,Random,114,20,0,117,1.0
random_30_03_0,Random,115,17,0,120,1.0
random_30_03_0,Random,116,17,0,120,1.0
random_30_03_0,Random,117,18,0,119,1.0
random_30_03_0,Random,118,18,0,119,1.0
random_30_03_0,Random,119,19,0,118,1.0
random_30_03_0,Random,120,23,0,114,1.0
random_30_03_0,Random,121,22,0,115,1.0
random_30_03_0,Random,122,18,0,119,1.0
random_30_03_0,Random,123,17,0,120,1.0
random_30_03_0,Random,124,17,0,120,1.0
random_30_03_0,Random,125,17,0,120,1.0
random_30_03_0,Random,126,19,0,118,1.0
random_30_03_0,Random,127,17,0,120,1.0
random_30_03_0,Random,128,18,0,119,1.0
random_30_03_0,Random,129,19,0,118,1.0
random_30_03_0,Random,130,20,0,117,1.0
random_30_03_0,Random,131,18,0,119,1.0
random_30_03_0,Random,132,21,0,116,1.0
random_30_03_0,Random,133,22,0,115,1.0
random_30_03_0,Random,134,20,0,117,1.0
random_30_03_0,Random,135,18,0,119,1.0
random_30_03_0,Random,136,19,0,118,1.0
random_30_03_0,Random,137,17,0,120,1.0
random_30_03_0,Random,138,16,0,121,1.0
random_30_03_0,Random,139,20,0,117,1.0
random_30_03_0,Random,140,21,0,116,1.0
random_30_03_0,Random,141,20,0,117,1.0
random_30_03_0,Random,142,22,0,115,1.0
random_30_03_0,Random,143,23,0,114,1.0
random_30_03_0,Random,144,22,0,115,1.0
random_30_03_0,Random,145,23,0,114,1.0
random_30_03_0,Random,146,23,0,114,1.0
random_30_03_0,Random,147,22,0,115,1.0
random_30_03_0,Random,148,19,0,118,1.0
random_30_03_0,Random,149,15,0,122,1.0
random_30_03_0,Random,150,20,0,117,1.0
random_30_03_0,Random,151,20,0,117,1.0
random_30_03_0,Random,152,18,0,119,1.0
random_30_03_0,Random,153,21,0,116,1.0
random_30_03_0,Random,154,19,0,118,1.0
random_30_03_0,Random,155,20,0,117,1.0
random_30_03_0,Random,156,20,0,117,1.0
random_30_03_0,Random,157,20,0,117,1.0
random_30_03_0,Random,158,22,0,115,1.0
random_30_03_0,Random,159,21,0,116,1.0
random_30_03_0,Random,160,19,0,118,1.0
random_30_03_0,Random,161,23,0,114,1.0
random_30_03_0,Random,162,21,0,116,1.0
random_30_03_0,Random,163,20,0,117,1.0
random_30_03_0,Random,164,19,0,118,1.0
random_30_03_0,Random,165,23,0,114,1.0
random_30_03_0,Random,166,25,0,112,1.0
random_30_03_0,Random,167,23,0,114,1.0
random_30_03_0,Random,168,22,0,115,1.0
random_30_03_0,Random,169,24,0,113,1.0
random_30_03_0,Random,170,18,0,119,1.0
random_30_03_0,Random,171,17,0,120,1.0
random_30_03_0,Random,172,18,0,119,1.0
random_30_03_0,Random,173,18,0,119,1.0
random_30_03_0,Random,174,17,0,120,1.0
random_30_03_0,Random,175,18,0,119,1.0
random_30_03_0,Random,176,20,0,117,1.0
random_30_03_0,Random,177,17,0,120,1.0
random_30_03_0,Random,178,19,0,118,1.0
random_30_03_0,Random,179,21,0,116,1.0
random_30_03_0,Random,180,18,0,119,1.0
random_30_03_0,Random,181,17,0,120,1.0
random_30_03_0,Random,182,18,0,119,1.0
random_30_03_0,Random,183,18,0,119,1.0
random_30_03_0,Random,184,17,0,120,1.0
random_30_03_0,Random,185,18,0,119,1.0
random_30_03_0,Random,186,20,0,117,1.0
random_30_03_0,Random,187,17,0,120,1.0
random_30_03_0,Random,188,19,0,118,1.0
random_30_03_0,Random,189,21,0,116,1.0
random_30_03_0,Random,190,17,0,120,1.0
random_30_03_0,Random,191,16,0,121,1.0
random_30_03_0,Random,192,18,0,119,1.0
random_30_03_0,Random,193,18,0,119,1.0
random_30_03_0,Random,194,18,0,119,1.0
random_30_03_0,Random,195,18,0,119,1.0
random_30_03_0,Random,196,20,0,117,1.0
random_30_03_0,Random,197,17,0,120,1.0
random_30_03_0,Random,198,19,0,118,1.0
random_30_03_0,Random,199,21,0,116,1.0
random_30_03_0,MostChangedInterval (200),0,45,0,92,1.0
random_30_03_0,MostChangedInterval (200),1,50,0,87,1.0
random_30_03_0,MostChangedInterval (200),2,45,0,92,1.0
random_30_03_0,MostChangedInterval (200),3,44,0,93,1.0
random_30_03_0,MostChangedInterval (200),4,55,0,82,1.0
random_30_03_0,MostChangedInterval (200),5,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),6,51,0,86,1.0
random_30_03_0,MostChangedInterval (200),7,51,0,86,1.0
random_30_03_0,MostChangedInterval (200),8,44,0,93,1.0
random_30_03_0,MostChangedInterval (200),9,50,0,87,1.0
random_30_03_0,MostChangedInterval (200),10,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),11,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),12,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),13,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),14,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),15,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),16,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),17,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),18,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),19,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),20,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),21,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),22,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),23,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),24,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),25,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),26,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),27,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),28,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),29,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),30,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),31,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),32,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),33,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),34,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),35,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),36,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),37,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),38,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),39,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),40,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),41,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),42,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),43,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),44,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),45,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),46,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),47,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),48,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),49,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),50,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),51,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),52,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),53,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),54,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),55,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),56,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),57,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),58,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),59,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),60,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),61,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),62,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),63,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),64,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),65,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),66,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),67,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),68,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),69,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),70,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),71,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),72,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),73,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),74,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),75,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),76,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),77,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),78,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),79,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),80,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),81,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),82,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),83,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),84,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),85,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),86,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),87,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),88,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),89,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),90,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),91,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),92,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),93,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),94,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),95,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),96,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),97,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),98,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),99,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),100,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),101,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),102,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),103,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),104,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),105,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),106,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),107,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),108,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),109,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),110,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),111,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),112,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),113,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),114,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),115,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),116,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),117,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),118,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),119,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),120,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),121,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),122,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),123,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),124,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),125,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),126,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),127,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),128,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),129,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),130,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),131,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),132,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),133,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),134,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),135,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),136,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),137,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),138,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),139,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),140,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),141,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),142,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),143,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),144,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),145,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),146,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),147,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),148,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),149,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),150,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),151,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),152,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),153,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),154,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),155,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),156,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),157,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),158,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),159,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),160,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),161,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),162,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),163,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),164,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),165,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),166,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),167,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),168,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),169,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),170,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),171,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),172,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),173,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),174,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),175,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),176,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),177,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),178,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),179,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),180,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),181,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),182,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),183,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),184,46,0,91,1.0
random_30_03_0,MostChangedInterval (200),185,47,0,90,1.0
random_30_03_0,MostChangedInterval (200),186,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),187,49,0,88,1.0
random_30_03_0,MostChangedInterval (200),188,43,0,94,1.0
random_30_03_0,MostChangedInterval (200),189,48,0,89,1.0
random_30_03_0,MostChangedInterval (200),190,53,0,84,1.0
random_30_03_0,MostChangedInterval (200),191,54,0,83,1.0
random_30_03_0,MostChangedInterval (200),192,52,0,85,1.0
random_30_03_0,MostChangedInterval (200),193,43,0,94,1.0
