graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_03_0,Random,0,40,0,86,1.0
random_30_03_0,Random,1,38,0,88,1.0
random_30_03_0,Random,2,38,0,88,1.0
random_30_03_0,Random,3,38,0,88,1.0
random_30_03_0,Random,4,37,0,89,1.0
random_30_03_0,Random,5,35,0,91,1.0
random_30_03_0,Random,6,38,0,88,1.0
random_30_03_0,Random,7,41,0,85,1.0
random_30_03_0,Random,8,36,0,90,1.0
random_30_03_0,Random,9,32,0,94,1.0
random_30_03_0,Random,10,28,0,98,1.0
random_30_03_0,Random,11,28,0,98,1.0
random_30_03_0,Random,12,26,0,100,1.0
random_30_03_0,Random,13,25,0,101,1.0
random_30_03_0,Random,14,25,0,101,1.0
random_30_03_0,Random,15,25,0,101,1.0
random_30_03_0,Random,16,23,0,103,1.0
random_30_03_0,Random,17,24,0,102,1.0
random_30_03_0,Random,18,27,0,99,1.0
random_30_03_0,Random,19,27,0,99,1.0
random_30_03_0,Random,20,29,0,97,1.0
random_30_03_0,Random,21,30,0,96,1.0
random_30_03_0,Random,22,27,0,99,1.0
random_30_03_0,Random,23,24,0,102,1.0
random_30_03_0,Random,24,24,0,102,1.0
random_30_03_0,Random,25,25,0,101,1.0
random_30_03_0,Random,26,25,0,101,1.0
random_30_03_0,Random,27,24,0,102,1.0
random_30_03_0,Random,28,22,0,104,1.0
random_30_03_0,Random,29,25,0,101,1.0
random_30_03_0,Random,30,27,0,99,1.0
random_30_03_0,Random,31,30,0,96,1.0
random_30_03_0,Random,32,25,0,101,1.0
random_30_03_0,Random,33,27,0,99,1.0
random_30_03_0,Random,34,29,0,97,1.0
random_30_03_0,Random,35,27,0,99,1.0
random_30_03_0,Random,36,29,0,97,1.0
random_30_03_0,Random,37,29,0,97,1.0
random_30_03_0,Random,38,29,0,97,1.0
random_30_03_0,Random,39,37,0,89,1.0
random_30_03_0,Random,40,31,0,95,1.0
random_30_03_0,Random,41,35,0,91,1.0
random_30_03_0,Random,42,32,0,94,1.0
random_30_03_0,Random,43,33,0,93,1.0
random_30_03_0,Random,44,31,0,95,1.0
random_30_03_0,Random,45,30,0,96,1.0
random_30_03_0,Random,46,28,0,98,1.0
random_30_03_0,Random,47,30,0,96,1.0
random_30_03_0,Random,48,28,0,98,1.0
random_30_03_0,Random,49,28,0,98,1.0
random_30_03_0,Random,50,29,0,97,1.0
random_30_03_0,Random,51,30,0,96,1.0
random_30_03_0,Random,52,32,0,94,1.0
random_30_03_0,Random,53,33,0,93,1.0
random_30_03_0,Random,54,31,0,95,1.0
random_30_03_0,Random,55,28,0,98,1.0
random_30_03_0,Random,56,32,0,94,1.0
random_30_03_0,Random,57,29,0,97,1.0
random_30_03_0,Random,58,26,0,100,1.0
random_30_03_0,Random,59,29,0,97,1.0
random_30_03_0,Random,60,26,0,100,1.0
random_30_03_0,Random,61,26,0,100,1.0
random_30_03_0,Random,62,29,0,97,1.0
random_30_03_0,Random,63,27,0,99,1.0
random_30_03_0,Random,64,28,0,98,1.0
random_30_03_0,Random,65,29,0,97,1.0
random_30_03_0,Random,66,23,0,103,1.0
random_30_03_0,Random,67,25,0,101,1.0
random_30_03_0,Random,68,28,0,98,1.0
random_30_03_0,Random,69,30,0,96,1.0
random_30_03_0,Random,70,34,0,92,1.0
random_30_03_0,Random,71,35,0,91,1.0
random_30_03_0,Random,72,34,0,92,1.0
random_30_03_0,Random,73,32,0,94,1.0
random_30_03_0,Random,74,29,0,97,1.0
random_30_03_0,Random,75,26,0,100,1.0
random_30_03_0,Random,76,26,0,100,1.0
random_30_03_0,Random,77,25,0,101,1.0
random_30_03_0,Random,78,26,0,100,1.0
random_30_03_0,Random,79,27,0,99,1.0
random_30_03_0,Random,80,29,0,97,1.0
random_30_03_0,Random,81,34,0,92,1.0
random_30_03_0,Random,82,35,0,91,1.0
random_30_03_0,Random,83,29,0,97,1.0
random_30_03_0,Random,84,25,0,101,1.0
random_30_03_0,Random,85,26,0,100,1.0
random_30_03_0,Random,86,28,0,98,1.0
random_30_03_0,Random,87,28,0,98,1.0
random_30_03_0,Random,88,25,0,101,1.0
random_30_03_0,Random,89,22,0,104,1.0
random_30_03_0,Random,90,24,0,102,1.0
random_30_03_0,Random,91,29,0,97,1.0
random_30_03_0,Random,92,28,0,98,1.0
random_30_03_0,Random,93,30,0,96,1.0
random_30_03_0,Random,94,29,0,97,1.0
random_30_03_0,Random,95,30,0,96,1.0
random_30_03_0,Random,96,25,0,101,1.0
random_30_03_0,Random,97,28,0,98,1.0
random_30_03_0,Random,98,24,0,102,1.0
random_30_03_0,Random,99,23,0,103,1.0
random_30_03_0,Random,100,21,0,105,1.0
random_30_03_0,Random,101,23,0,103,1.0
random_30_03_0,Random,102,23,0,103,1.0
random_30_03_0,Random,103,23,0,103,1.0
random_30_03_0,Random,104,25,0,101,1.0
random_30_03_0,Random,105,23,0,103,1.0
random_30_03_0,Random,106,25,0,101,1.0
random_30_03_0,Random,107,22,0,104,1.0
random_30_03_0,Random,108,22,0,104,1.0
random_30_03_0,Random,109,20,0,106,1.0
random_30_03_0,Random,110,21,0,105,1.0
random_30_03_0,Random,111,24,0,102,1.0
random_30_03_0,Random,112,25,0,101,1.0
random_30_03_0,Random,113,24,0,102,1.0
random_30_03_0,Random,114,27,0,99,1.0
random_30_03_0,Random,115,23,0,103,1.0
random_30_03_0,Random,116,25,0,101,1.0
random_30_03_0,Random,117,22,0,104,1.0
random_30_03_0,Random,118,19,0,107,1.0
random_30_03_0,Random,119,21,0,105,1.0
random_30_03_0,Random,120,24,0,102,1.0
random_30_03_0,Random,121,27,0,99,1.0
random_30_03_0,Random,122,26,0,100,1.0
random_30_03_0,Random,123,25,0,101,1.0
random_30_03_0,Random,124,28,0,98,1.0
random_30_03_0,Random,125,28,0,98,1.0
random_30_03_0,Random,126,26,0,100,1.0
random_30_03_0,Random,127,27,0,99,1.0
random_30_03_0,Random,128,26,0,100,1.0
random_30_03_0,Random,129,23,0,103,1.0
random_30_03_0,Random,130,25,0,101,1.0
random_30_03_0,Random,131,30,0,96,1.0
random_30_03_0,Random,132,31,0,95,1.0
random_30_03_0,Random,133,26,0,100,1.0
random_30_03_0,Random,134,24,0,102,1.0
random_30_03_0,Random,135,23,0,103,1.0
random_30_03_0,Random,136,23,0,103,1.0
random_30_03_0,Random,137,22,0,104,1.0
random_30_03_0,Random,138,21,0,105,1.0
random_30_03_0,Random,139,23,0,103,1.0
random_30_03_0,Random,140,23,0,103,1.0
random_30_03_0,Random,141,22,0,104,1.0
random_30_03_0,Random,142,22,0,104,1.0
random_30_03_0,Random,143,25,0,101,1.0
random_30_03_0,Random,144,28,0,98,1.0
random_30_03_0,Random,145,27,0,99,1.0
random_30_03_0,Random,146,26,0,100,1.0
random_30_03_0,Random,147,28,0,98,1.0
random_30_03_0,Random,148,25,0,101,1.0
random_30_03_0,Random,149,28,0,98,1.0
random_30_03_0,Random,150,27,0,99,1.0
random_30_03_0,Random,151,24,0,102,1.0
random_30_03_0,Random,152,23,0,103,1.0
random_30_03_0,Random,153,22,0,104,1.0
random_30_03_0,Random,154,21,0,105,1.0
random_30_03_0,Random,155,24,0,102,1.0
random_30_03_0,Random,156,23,0,103,1.0
random_30_03_0,Random,157,24,0,102,1.0
random_30_03_0,Random,158,26,0,100,1.0
random_30_03_0,Random,159,26,0,100,1.0
random_30_03_0,Random,160,26,0,100,1.0
random_30_03_0,Random,161,27,0,99,1.0
random_30_03_0,Random,162,25,0,101,1.0
random_30_03_0,Random,163,24,0,102,1.0
random_30_03_0,Random,164,28,0,98,1.0
random_30_03_0,Random,165,30,0,96,1.0
random_30_03_0,Random,166,27,0,99,1.0
random_30_03_0,Random,167,28,0,98,1.0
random_30_03_0,Random,168,23,0,103,1.0
random_30_03_0,Random,169,23,0,103,1.0
random_30_03_0,Random,170,26,0,100,1.0
random_30_03_0,Random,171,21,0,105,1.0
random_30_03_0,Random,172,22,0,104,1.0
random_30_03_0,Random,173,22,0,104,1.0
random_30_03_0,Random,174,20,0,106,1.0
random_30_03_0,Random,175,22,0,104,1.0
random_30_03_0,Random,176,23,0,103,1.0
random_30_03_0,Random,177,21,0,105,1.0
random_30_03_0,Random,178,25,0,101,1.0
random_30_03_0,Random,179,25,0,101,1.0
random_30_03_0,Random,180,29,0,97,1.0
random_30_03_0,Random,181,31,0,95,1.0
random_30_03_0,Random,182,29,0,97,1.0
random_30_03_0,Random,183,28,0,98,1.0
random_30_03_0,Random,184,26,0,100,1.0
random_30_03_0,Random,185,21,0,105,1.0
random_30_03_0,Random,186,25,0,101,1.0
random_30_03_0,Random,187,22,0,104,1.0
random_30_03_0,Random,188,24,0,102,1.0
random_30_03_0,Random,189,26,0,100,1.0
random_30_03_0,Random,190,26,0,100,1.0
random_30_03_0,Random,191,27,0,99,1.0
random_30_03_0,Random,192,26,0,100,1.0
random_30_03_0,Random,193,27,0,99,1.0
random_30_03_0,Random,194,28,0,98,1.0
random_30_03_0,Random,195,27,0,99,1.0
random_30_03_0,Random,196,27,0,99,1.0
random_30_03_0,Random,197,25,0,101,1.0
random_30_03_0,Random,198,24,0,102,1.0
random_30_03_0,Random,199,23,0,103,1.0
random_30_03_0,MostChangedInterval (200),0,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),1,42,0,84,1.0
random_30_03_0,MostChangedInterval (200),2,43,0,83,1.0
random_30_03_0,MostChangedInterval (200),3,42,0,84,1.0
random_30_03_0,MostChangedInterval (200),4,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),5,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),6,43,0,83,1.0
random_30_03_0,MostChangedInterval (200),7,46,0,80,1.0
random_30_03_0,MostChangedInterval (200),8,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),9,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),10,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),11,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),12,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),13,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),14,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),15,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),16,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),17,43,0,83,1.0
random_30_03_0,MostChangedInterval (200),18,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),19,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),20,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),21,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),22,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),23,42,0,84,1.0
random_30_03_0,MostChangedInterval (200),24,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),25,35,0,91,1.0
random_30_03_0,MostChangedInterval (200),26,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),27,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),28,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),29,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),30,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),31,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),32,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),33,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),34,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),35,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),36,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),37,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),38,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),39,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),40,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),41,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),42,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),43,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),44,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),45,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),46,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),47,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),48,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),49,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),50,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),51,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),52,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),53,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),54,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),55,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),56,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),57,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),58,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),59,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),60,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),61,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),62,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),63,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),64,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),65,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),66,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),67,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),68,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),69,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),70,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),71,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),72,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),73,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),74,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),75,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),76,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),77,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),78,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),79,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),80,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),81,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),82,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),83,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),84,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),85,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),86,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),87,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),88,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),89,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),90,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),91,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),92,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),93,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),94,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),95,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),96,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),97,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),98,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),99,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),100,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),101,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),102,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),103,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),104,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),105,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),106,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),107,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),108,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),109,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),110,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),111,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),112,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),113,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),114,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),115,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),116,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),117,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),118,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),119,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),120,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),121,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),122,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),123,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),124,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),125,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),126,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),127,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),128,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),129,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),130,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),131,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),132,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),133,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),134,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),135,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),136,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),137,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),138,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),139,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),140,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),141,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),142,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),143,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),144,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),145,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),146,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),147,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),148,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),149,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),150,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),151,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),152,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),153,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),154,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),155,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),156,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),157,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),158,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),159,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),160,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),161,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),162,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),163,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),164,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),165,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),166,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),167,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),168,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),169,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),170,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),171,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),172,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),173,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),174,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),175,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),176,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),177,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),178,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),179,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),180,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),181,40,0,86,1.0
random_30_03_0,MostChangedInterval (200),182,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),183,41,0,85,1.0
random_30_03_0,MostChangedInterval (200),184,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),185,36,0,90,1.0
random_30_03_0,MostChangedInterval (200),186,38,0,88,1.0
random_30_03_0,MostChangedInterval (200),187,39,0,87,1.0
random_30_03_0,MostChangedInterval (200),188,37,0,89,1.0
random_30_03_0,MostChangedInterval (200),189,33,0,93,1.0
random_30_03_0,MostChangedInterval (200),190,36,0,90,1.0
