graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_03_0,Random,0,6,0,30,1.0
random_30_03_0,Random,1,7,0,29,1.0
random_30_03_0,Random,2,7,0,29,1.0
random_30_03_0,Random,3,8,0,28,1.0
random_30_03_0,Random,4,7,0,29,1.0
random_30_03_0,Random,5,6,0,30,1.0
random_30_03_0,Random,6,8,0,28,1.0
random_30_03_0,Random,7,8,0,28,1.0
random_30_03_0,Random,8,9,0,27,1.0
random_30_03_0,Random,9,9,0,27,1.0
random_30_03_0,Random,10,11,0,25,1.0
random_30_03_0,Random,11,12,0,24,1.0
random_30_03_0,Random,12,11,0,25,1.0
random_30_03_0,Random,13,9,0,27,1.0
random_30_03_0,Random,14,8,0,28,1.0
random_30_03_0,Random,15,6,0,30,1.0
random_30_03_0,Random,16,8,0,28,1.0
random_30_03_0,Random,17,8,0,28,1.0
random_30_03_0,Random,18,7,0,29,1.0
random_30_03_0,Random,19,7,0,29,1.0
random_30_03_0,Random,20,4,0,32,1.0
random_30_03_0,Random,21,4,0,32,1.0
random_30_03_0,Random,22,6,0,30,1.0
random_30_03_0,Random,23,6,0,30,1.0
random_30_03_0,Random,24,6,0,30,1.0
random_30_03_0,Random,25,5,0,31,1.0
random_30_03_0,Random,26,4,0,32,1.0
random_30_03_0,Random,27,6,0,30,1.0
random_30_03_0,Random,28,5,0,31,1.0
random_30_03_0,Random,29,5,0,31,1.0
random_30_03_0,Random,30,3,0,33,1.0
random_30_03_0,Random,31,4,0,32,1.0
random_30_03_0,Random,32,3,0,33,1.0
random_30_03_0,Random,33,2,0,34,1.0
random_30_03_0,Random,34,2,0,34,1.0
random_30_03_0,Random,35,1,0,35,1.0
random_30_03_0,Random,36,2,0,34,1.0
random_30_03_0,Random,37,1,0,35,1.0
random_30_03_0,Random,38,2,0,34,1.0
random_30_03_0,Random,39,2,0,34,1.0
random_30_03_0,Random,40,3,0,33,1.0
random_30_03_0,Random,41,4,0,32,1.0
random_30_03_0,Random,42,5,0,31,1.0
random_30_03_0,Random,43,5,0,31,1.0
random_30_03_0,Random,44,6,0,30,1.0
random_30_03_0,Random,45,5,0,31,1.0
random_30_03_0,Random,46,5,0,31,1.0
random_30_03_0,Random,47,7,0,29,1.0
random_30_03_0,Random,48,6,0,30,1.0
random_30_03_0,Random,49,6,0,30,1.0
random_30_03_0,Random,50,6,0,30,1.0
random_30_03_0,Random,51,8,0,28,1.0
random_30_03_0,Random,52,4,0,32,1.0
random_30_03_0,Random,53,3,0,33,1.0
random_30_03_0,Random,54,3,0,33,1.0
random_30_03_0,Random,55,5,0,31,1.0
random_30_03_0,Random,56,5,0,31,1.0
random_30_03_0,Random,57,6,0,30,1.0
random_30_03_0,Random,58,5,0,31,1.0
random_30_03_0,Random,59,5,0,31,1.0
random_30_03_0,Random,60,2,0,34,1.0
random_30_03_0,Random,61,1,0,35,1.0
random_30_03_0,Random,62,2,0,34,1.0
