graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_03_0,Random,0,26,0,33,1.0
random_30_03_0,Random,1,17,0,42,1.0
random_30_03_0,Random,2,15,0,44,1.0
random_30_03_0,Random,3,16,0,43,1.0
random_30_03_0,Random,4,18,0,41,1.0
random_30_03_0,Random,5,15,0,44,1.0
random_30_03_0,Random,6,16,0,43,1.0
random_30_03_0,Random,7,12,0,47,1.0
random_30_03_0,Random,8,10,0,49,1.0
random_30_03_0,Random,9,8,0,51,1.0
random_30_03_0,Random,10,8,0,51,1.0
random_30_03_0,Random,11,8,0,51,1.0
random_30_03_0,Random,12,8,0,51,1.0
random_30_03_0,Random,13,9,0,50,1.0
random_30_03_0,Random,14,5,0,54,1.0
random_30_03_0,Random,15,5,0,54,1.0
random_30_03_0,Random,16,7,0,52,1.0
random_30_03_0,Random,17,10,0,49,1.0
random_30_03_0,Random,18,14,0,45,1.0
random_30_03_0,Random,19,9,0,50,1.0
random_30_03_0,Random,20,8,0,51,1.0
random_30_03_0,Random,21,13,0,46,1.0
random_30_03_0,Random,22,11,0,48,1.0
random_30_03_0,Random,23,13,0,46,1.0
random_30_03_0,Random,24,12,0,47,1.0
random_30_03_0,Random,25,10,0,49,1.0
random_30_03_0,Random,26,8,0,51,1.0
random_30_03_0,Random,27,9,0,50,1.0
random_30_03_0,Random,28,8,0,51,1.0
random_30_03_0,Random,29,8,0,51,1.0
random_30_03_0,Random,30,12,0,47,1.0
random_30_03_0,Random,31,5,0,54,1.0
random_30_03_0,Random,32,5,0,54,1.0
random_30_03_0,Random,33,5,0,54,1.0
random_30_03_0,Random,34,6,0,53,1.0
random_30_03_0,Random,35,5,0,54,1.0
random_30_03_0,Random,36,7,0,52,1.0
random_30_03_0,Random,37,7,0,52,1.0
random_30_03_0,Random,38,5,0,54,1.0
random_30_03_0,Random,39,4,0,55,1.0
random_30_03_0,Random,40,3,0,56,1.0
random_30_03_0,Random,41,3,0,56,1.0
random_30_03_0,Random,42,6,0,53,1.0
random_30_03_0,Random,43,3,0,56,1.0
random_30_03_0,Random,44,4,0,55,1.0
random_30_03_0,Random,45,4,0,55,1.0
random_30_03_0,Random,46,5,0,54,1.0
random_30_03_0,Random,47,5,0,54,1.0
random_30_03_0,Random,48,6,0,53,1.0
random_30_03_0,Random,49,8,0,51,1.0
random_30_03_0,Random,50,6,0,53,1.0
random_30_03_0,Random,51,5,0,54,1.0
random_30_03_0,Random,52,5,0,54,1.0
random_30_03_0,Random,53,4,0,55,1.0
random_30_03_0,Random,54,3,0,56,1.0
random_30_03_0,Random,55,4,0,55,1.0
random_30_03_0,Random,56,6,0,53,1.0
random_30_03_0,Random,57,6,0,53,1.0
random_30_03_0,Random,58,6,0,53,1.0
random_30_03_0,Random,59,7,0,52,1.0
random_30_03_0,Random,60,6,0,53,1.0
random_30_03_0,Random,61,5,0,54,1.0
random_30_03_0,Random,62,7,0,52,1.0
random_30_03_0,Random,63,7,0,52,1.0
random_30_03_0,Random,64,6,0,53,1.0
random_30_03_0,Random,65,7,0,52,1.0
random_30_03_0,Random,66,9,0,50,1.0
random_30_03_0,Random,67,5,0,54,1.0
random_30_03_0,Random,68,6,0,53,1.0
random_30_03_0,Random,69,7,0,52,1.0
random_30_03_0,Random,70,6,0,53,1.0
random_30_03_0,Random,71,7,0,52,1.0
random_30_03_0,Random,72,7,0,52,1.0
random_30_03_0,Random,73,7,0,52,1.0
random_30_03_0,Random,74,10,0,49,1.0
random_30_03_0,Random,75,8,0,51,1.0
random_30_03_0,Random,76,7,0,52,1.0
random_30_03_0,Random,77,7,0,52,1.0
random_30_03_0,Random,78,8,0,51,1.0
random_30_03_0,Random,79,6,0,53,1.0
random_30_03_0,Random,80,6,0,53,1.0
random_30_03_0,Random,81,7,0,52,1.0
random_30_03_0,Random,82,7,0,52,1.0
random_30_03_0,Random,83,6,0,53,1.0
random_30_03_0,Random,84,8,0,51,1.0
random_30_03_0,Random,85,7,0,52,1.0
random_30_03_0,Random,86,8,0,51,1.0
random_30_03_0,Random,87,8,0,51,1.0
random_30_03_0,Random,88,7,0,52,1.0
random_30_03_0,Random,89,9,0,50,1.0
random_30_03_0,Random,90,7,0,52,1.0
random_30_03_0,Random,91,7,0,52,1.0
random_30_03_0,Random,92,5,0,54,1.0
random_30_03_0,Random,93,11,0,48,1.0
random_30_03_0,Random,94,14,0,45,1.0
random_30_03_0,Random,95,10,0,49,1.0
random_30_03_0,Random,96,9,0,50,1.0
random_30_03_0,Random,97,9,0,50,1.0
random_30_03_0,Random,98,9,0,50,1.0
random_30_03_0,Random,99,8,0,51,1.0
random_30_03_0,Random,100,7,0,52,1.0
random_30_03_0,Random,101,9,0,50,1.0
random_30_03_0,Random,102,5,0,54,1.0
random_30_03_0,Random,103,11,0,48,1.0
random_30_03_0,Random,104,10,0,49,1.0
random_30_03_0,Random,105,8,0,51,1.0
random_30_03_0,Random,106,4,0,55,1.0
random_30_03_0,Random,107,4,0,55,1.0
random_30_03_0,Random,108,5,0,54,1.0
random_30_03_0,Random,109,5,0,54,1.0
random_30_03_0,Random,110,5,0,54,1.0
