graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_03_0,Random,0,18,0,29,1.0
random_30_03_0,Random,1,19,0,28,1.0
random_30_03_0,Random,2,13,0,34,1.0
random_30_03_0,Random,3,12,0,35,1.0
random_30_03_0,Random,4,9,0,38,1.0
random_30_03_0,Random,5,9,0,38,1.0
random_30_03_0,Random,6,13,0,34,1.0
random_30_03_0,Random,7,16,0,31,1.0
random_30_03_0,Random,8,16,0,31,1.0
random_30_03_0,Random,9,14,0,33,1.0
random_30_03_0,Random,10,10,0,37,1.0
random_30_03_0,Random,11,8,0,39,1.0
random_30_03_0,Random,12,8,0,39,1.0
random_30_03_0,Random,13,6,0,41,1.0
random_30_03_0,Random,14,6,0,41,1.0
random_30_03_0,Random,15,5,0,42,1.0
random_30_03_0,Random,16,7,0,40,1.0
random_30_03_0,Random,17,9,0,38,1.0
random_30_03_0,Random,18,11,0,36,1.0
random_30_03_0,Random,19,8,0,39,1.0
random_30_03_0,Random,20,9,0,38,1.0
random_30_03_0,Random,21,8,0,39,1.0
random_30_03_0,Random,22,11,0,36,1.0
random_30_03_0,Random,23,10,0,37,1.0
random_30_03_0,Random,24,7,0,40,1.0
random_30_03_0,Random,25,6,0,41,1.0
random_30_03_0,Random,26,11,0,36,1.0
random_30_03_0,Random,27,8,0,39,1.0
random_30_03_0,Random,28,5,0,42,1.0
random_30_03_0,Random,29,6,0,41,1.0
random_30_03_0,Random,30,5,0,42,1.0
random_30_03_0,Random,31,7,0,40,1.0
random_30_03_0,Random,32,9,0,38,1.0
random_30_03_0,Random,33,9,0,38,1.0
random_30_03_0,Random,34,10,0,37,1.0
random_30_03_0,Random,35,7,0,40,1.0
random_30_03_0,Random,36,3,0,44,1.0
random_30_03_0,Random,37,3,0,44,1.0
random_30_03_0,Random,38,5,0,42,1.0
random_30_03_0,Random,39,3,0,44,1.0
random_30_03_0,Random,40,6,0,41,1.0
random_30_03_0,Random,41,7,0,40,1.0
random_30_03_0,Random,42,8,0,39,1.0
random_30_03_0,Random,43,7,0,40,1.0
random_30_03_0,Random,44,7,0,40,1.0
random_30_03_0,Random,45,4,0,43,1.0
random_30_03_0,Random,46,5,0,42,1.0
random_30_03_0,Random,47,5,0,42,1.0
random_30_03_0,Random,48,8,0,39,1.0
random_30_03_0,Random,49,7,0,40,1.0
random_30_03_0,Random,50,9,0,38,1.0
random_30_03_0,Random,51,7,0,40,1.0
random_30_03_0,Random,52,6,0,41,1.0
random_30_03_0,Random,53,5,0,42,1.0
random_30_03_0,Random,54,6,0,41,1.0
random_30_03_0,Random,55,7,0,40,1.0
random_30_03_0,Random,56,11,0,36,1.0
random_30_03_0,Random,57,10,0,37,1.0
random_30_03_0,Random,58,7,0,40,1.0
random_30_03_0,Random,59,8,0,39,1.0
random_30_03_0,Random,60,4,0,43,1.0
random_30_03_0,Random,61,2,0,45,1.0
random_30_03_0,Random,62,2,0,45,1.0
random_30_03_0,Random,63,5,0,42,1.0
random_30_03_0,Random,64,3,0,44,1.0
random_30_03_0,Random,65,4,0,43,1.0
random_30_03_0,Random,66,6,0,41,1.0
random_30_03_0,Random,67,7,0,40,1.0
random_30_03_0,Random,68,9,0,38,1.0
random_30_03_0,Random,69,7,0,40,1.0
random_30_03_0,Random,70,6,0,41,1.0
random_30_03_0,Random,71,8,0,39,1.0
random_30_03_0,Random,72,5,0,42,1.0
random_30_03_0,Random,73,7,0,40,1.0
random_30_03_0,Random,74,7,0,40,1.0
random_30_03_0,Random,75,7,0,40,1.0
random_30_03_0,Random,76,4,0,43,1.0
random_30_03_0,Random,77,5,0,42,1.0
random_30_03_0,Random,78,8,0,39,1.0
random_30_03_0,Random,79,7,0,40,1.0
random_30_03_0,Random,80,8,0,39,1.0
random_30_03_0,Random,81,5,0,42,1.0
random_30_03_0,Random,82,3,0,44,1.0
random_30_03_0,Random,83,6,0,41,1.0
random_30_03_0,Random,84,7,0,40,1.0
random_30_03_0,Random,85,8,0,39,1.0
random_30_03_0,Random,86,7,0,40,1.0
random_30_03_0,Random,87,7,0,40,1.0
random_30_03_0,Random,88,7,0,40,1.0
random_30_03_0,Random,89,9,0,38,1.0
random_30_03_0,Random,90,5,0,42,1.0
random_30_03_0,Random,91,6,0,41,1.0
random_30_03_0,Random,92,7,0,40,1.0
random_30_03_0,Random,93,5,0,42,1.0
random_30_03_0,Random,94,8,0,39,1.0
random_30_03_0,Random,95,8,0,39,1.0
random_30_03_0,Random,96,7,0,40,1.0
random_30_03_0,Random,97,7,0,40,1.0
random_30_03_0,Random,98,7,0,40,1.0
random_30_03_0,Random,99,8,0,39,1.0
random_30_03_0,Random,100,8,0,39,1.0
random_30_03_0,Random,101,8,0,39,1.0
random_30_03_0,Random,102,7,0,40,1.0
random_30_03_0,Random,103,9,0,38,1.0
random_30_03_0,Random,104,9,0,38,1.0
random_30_03_0,Random,105,9,0,38,1.0
random_30_03_0,Random,106,10,0,37,1.0
random_30_03_0,Random,107,11,0,36,1.0
random_30_03_0,Random,108,10,0,37,1.0
random_30_03_0,Random,109,8,0,39,1.0
random_30_03_0,Random,110,7,0,40,1.0
random_30_03_0,Random,111,6,0,41,1.0
random_30_03_0,Random,112,6,0,41,1.0
random_30_03_0,Random,113,7,0,40,1.0
random_30_03_0,Random,114,9,0,38,1.0
random_30_03_0,Random,115,7,0,40,1.0
random_30_03_0,Random,116,6,0,41,1.0
random_30_03_0,Random,117,4,0,43,1.0
random_30_03_0,Random,118,7,0,40,1.0
random_30_03_0,Random,119,6,0,41,1.0
random_30_03_0,Random,120,5,0,42,1.0
random_30_03_0,Random,121,5,0,42,1.0
random_30_03_0,Random,122,4,0,43,1.0
random_30_03_0,Random,123,4,0,43,1.0
random_30_03_0,Random,124,6,0,41,1.0
random_30_03_0,Random,125,7,0,40,1.0
random_30_03_0,Random,126,4,0,43,1.0
random_30_03_0,Random,127,4,0,43,1.0
random_30_03_0,Random,128,3,0,44,1.0
random_30_03_0,Random,129,3,0,44,1.0
random_30_03_0,Random,130,4,0,43,1.0
random_30_03_0,Random,131,4,0,43,1.0
random_30_03_0,Random,132,6,0,41,1.0
random_30_03_0,Random,133,6,0,41,1.0
random_30_03_0,Random,134,6,0,41,1.0
