graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
random_30_07_0,Random,0,112,0,204,1.0
random_30_07_0,Random,1,113,0,203,1.0
random_30_07_0,Random,2,116,0,200,1.0
random_30_07_0,Random,3,109,0,207,1.0
random_30_07_0,Random,4,103,0,213,1.0
random_30_07_0,Random,5,107,0,209,1.0
random_30_07_0,Random,6,111,0,205,1.0
random_30_07_0,Random,7,100,0,216,1.0
random_30_07_0,Random,8,98,0,218,1.0
random_30_07_0,Random,9,97,0,219,1.0
random_30_07_0,Random,10,95,0,221,1.0
random_30_07_0,Random,11,95,0,221,1.0
random_30_07_0,Random,12,96,0,220,1.0
random_30_07_0,Random,13,93,0,223,1.0
random_30_07_0,Random,14,92,0,224,1.0
random_30_07_0,Random,15,93,0,223,1.0
random_30_07_0,Random,16,93,0,223,1.0
random_30_07_0,Random,17,91,0,225,1.0
random_30_07_0,Random,18,94,0,222,1.0
random_30_07_0,Random,19,96,0,220,1.0
random_30_07_0,Random,20,96,0,220,1.0
random_30_07_0,Random,21,93,0,223,1.0
random_30_07_0,Random,22,93,0,223,1.0
random_30_07_0,Random,23,95,0,221,1.0
random_30_07_0,Random,24,86,0,230,1.0
random_30_07_0,Random,25,89,0,227,1.0
random_30_07_0,Random,26,90,0,226,1.0
random_30_07_0,Random,27,86,0,230,1.0
random_30_07_0,Random,28,89,0,227,1.0
random_30_07_0,Random,29,94,0,222,1.0
random_30_07_0,Random,30,94,0,222,1.0
random_30_07_0,Random,31,89,0,227,1.0
random_30_07_0,Random,32,86,0,230,1.0
random_30_07_0,Random,33,84,0,232,1.0
random_30_07_0,Random,34,89,0,227,1.0
random_30_07_0,Random,35,89,0,227,1.0
random_30_07_0,Random,36,93,0,223,1.0
random_30_07_0,Random,37,89,0,227,1.0
random_30_07_0,Random,38,93,0,223,1.0
random_30_07_0,Random,39,96,0,220,1.0
random_30_07_0,Random,40,92,0,224,1.0
random_30_07_0,Random,41,96,0,220,1.0
random_30_07_0,Random,42,113,0,203,1.0
random_30_07_0,Random,43,104,0,212,1.0
random_30_07_0,Random,44,104,0,212,1.0
random_30_07_0,Random,45,117,0,199,1.0
random_30_07_0,Random,46,114,0,202,1.0
random_30_07_0,Random,47,106,0,210,1.0
random_30_07_0,Random,48,103,0,213,1.0
random_30_07_0,Random,49,94,0,222,1.0
random_30_07_0,Random,50,98,0,218,1.0
random_30_07_0,Random,51,101,0,215,1.0
random_30_07_0,Random,52,106,0,210,1.0
random_30_07_0,Random,53,109,0,207,1.0
random_30_07_0,Random,54,102,0,214,1.0
random_30_07_0,Random,55,99,0,217,1.0
random_30_07_0,Random,56,102,0,214,1.0
random_30_07_0,Random,57,94,0,222,1.0
random_30_07_0,Random,58,99,0,217,1.0
random_30_07_0,Random,59,92,0,224,1.0
random_30_07_0,Random,60,92,0,224,1.0
random_30_07_0,Random,61,93,0,223,1.0
random_30_07_0,Random,62,90,0,226,1.0
random_30_07_0,Random,63,88,0,228,1.0
random_30_07_0,Random,64,84,0,232,1.0
random_30_07_0,Random,65,94,0,222,1.0
random_30_07_0,Random,66,96,0,220,1.0
random_30_07_0,Random,67,93,0,223,1.0
random_30_07_0,Random,68,93,0,223,1.0
random_30_07_0,Random,69,91,0,225,1.0
random_30_07_0,Random,70,94,0,222,1.0
random_30_07_0,Random,71,90,0,226,1.0
random_30_07_0,Random,72,88,0,228,1.0
random_30_07_0,Random,73,87,0,229,1.0
random_30_07_0,Random,74,97,0,219,1.0
random_30_07_0,Random,75,89,0,227,1.0
random_30_07_0,Random,76,90,0,226,1.0
random_30_07_0,Random,77,90,0,226,1.0
random_30_07_0,Random,78,90,0,226,1.0
random_30_07_0,Random,79,92,0,224,1.0
random_30_07_0,Random,80,94,0,222,1.0
random_30_07_0,Random,81,100,0,216,1.0
random_30_07_0,Random,82,98,0,218,1.0
random_30_07_0,Random,83,99,0,217,1.0
random_30_07_0,Random,84,99,0,217,1.0
random_30_07_0,Random,85,100,0,216,1.0
random_30_07_0,Random,86,109,0,207,1.0
random_30_07_0,Random,87,109,0,207,1.0
random_30_07_0,Random,88,101,0,215,1.0
random_30_07_0,Random,89,102,0,214,1.0
random_30_07_0,Random,90,100,0,216,1.0
random_30_07_0,Random,91,103,0,213,1.0
random_30_07_0,Random,92,103,0,213,1.0
random_30_07_0,Random,93,105,0,211,1.0
random_30_07_0,Random,94,98,0,218,1.0
random_30_07_0,Random,95,92,0,224,1.0
random_30_07_0,Random,96,92,0,224,1.0
random_30_07_0,Random,97,92,0,224,1.0
random_30_07_0,Random,98,87,0,229,1.0
random_30_07_0,Random,99,88,0,228,1.0
random_30_07_0,Random,100,96,0,220,1.0
random_30_07_0,Random,101,97,0,219,1.0
random_30_07_0,Random,102,103,0,213,1.0
random_30_07_0,Random,103,103,0,213,1.0
random_30_07_0,Random,104,117,0,199,1.0
random_30_07_0,Random,105,138,0,178,1.0
random_30_07_0,Random,106,126,0,190,1.0
random_30_07_0,Random,107,111,0,205,1.0
random_30_07_0,Random,108,105,0,211,1.0
random_30_07_0,Random,109,100,0,216,1.0
random_30_07_0,Random,110,100,0,216,1.0
random_30_07_0,Random,111,100,0,216,1.0
random_30_07_0,Random,112,105,0,211,1.0
random_30_07_0,Random,113,99,0,217,1.0
random_30_07_0,Random,114,96,0,220,1.0
random_30_07_0,Random,115,98,0,218,1.0
random_30_07_0,Random,116,95,0,221,1.0
random_30_07_0,Random,117,94,0,222,1.0
random_30_07_0,Random,118,94,0,222,1.0
random_30_07_0,Random,119,95,0,221,1.0
random_30_07_0,Random,120,93,0,223,1.0
random_30_07_0,Random,121,99,0,217,1.0
random_30_07_0,Random,122,96,0,220,1.0
random_30_07_0,Random,123,101,0,215,1.0
random_30_07_0,Random,124,101,0,215,1.0
random_30_07_0,Random,125,98,0,218,1.0
random_30_07_0,Random,126,98,0,218,1.0
random_30_07_0,Random,127,95,0,221,1.0
random_30_07_0,Random,128,99,0,217,1.0
random_30_07_0,Random,129,94,0,222,1.0
random_30_07_0,Random,130,96,0,220,1.0
random_30_07_0,Random,131,94,0,222,1.0
random_30_07_0,Random,132,89,0,227,1.0
random_30_07_0,Random,133,91,0,225,1.0
random_30_07_0,Random,134,86,0,230,1.0
random_30_07_0,Random,135,86,0,230,1.0
random_30_07_0,Random,136,86,0,230,1.0
random_30_07_0,Random,137,84,0,232,1.0
random_30_07_0,Random,138,85,0,231,1.0
random_30_07_0,Random,139,87,0,229,1.0
random_30_07_0,Random,140,88,0,228,1.0
random_30_07_0,Random,141,87,0,229,1.0
random_30_07_0,Random,142,87,0,229,1.0
random_30_07_0,Random,143,90,0,226,1.0
random_30_07_0,Random,144,90,0,226,1.0
random_30_07_0,Random,145,95,0,221,1.0
random_30_07_0,Random,146,95,0,221,1.0
random_30_07_0,Random,147,91,0,225,1.0
random_30_07_0,Random,148,93,0,223,1.0
random_30_07_0,Random,149,91,0,225,1.0
random_30_07_0,Random,150,90,0,226,1.0
random_30_07_0,Random,151,94,0,222,1.0
random_30_07_0,Random,152,92,0,224,1.0
random_30_07_0,Random,153,92,0,224,1.0
random_30_07_0,Random,154,104,0,212,1.0
random_30_07_0,Random,155,104,0,212,1.0
random_30_07_0,Random,156,95,0,221,1.0
random_30_07_0,Random,157,96,0,220,1.0
random_30_07_0,Random,158,94,0,222,1.0
random_30_07_0,Random,159,94,0,222,1.0
random_30_07_0,Random,160,87,0,229,1.0
random_30_07_0,Random,161,88,0,228,1.0
random_30_07_0,Random,162,88,0,228,1.0
random_30_07_0,Random,163,88,0,228,1.0
random_30_07_0,Random,164,88,0,228,1.0
random_30_07_0,Random,165,82,0,234,1.0
random_30_07_0,Random,166,84,0,232,1.0
random_30_07_0,Random,167,83,0,233,1.0
random_30_07_0,Random,168,84,0,232,1.0
random_30_07_0,Random,169,85,0,231,1.0
random_30_07_0,Random,170,88,0,228,1.0
random_30_07_0,Random,171,84,0,232,1.0
random_30_07_0,Random,172,81,0,235,1.0
random_30_07_0,Random,173,81,0,235,1.0
random_30_07_0,Random,174,89,0,227,1.0
random_30_07_0,Random,175,92,0,224,1.0
random_30_07_0,Random,176,91,0,225,1.0
random_30_07_0,Random,177,92,0,224,1.0
random_30_07_0,Random,178,90,0,226,1.0
random_30_07_0,Random,179,93,0,223,1.0
random_30_07_0,Random,180,91,0,225,1.0
random_30_07_0,Random,181,91,0,225,1.0
random_30_07_0,Random,182,93,0,223,1.0
random_30_07_0,Random,183,97,0,219,1.0
random_30_07_0,Random,184,102,0,214,1.0
random_30_07_0,Random,185,98,0,218,1.0
random_30_07_0,Random,186,98,0,218,1.0
random_30_07_0,Random,187,98,0,218,1.0
random_30_07_0,Random,188,96,0,220,1.0
random_30_07_0,Random,189,98,0,218,1.0
random_30_07_0,Random,190,95,0,221,1.0
random_30_07_0,Random,191,95,0,221,1.0
random_30_07_0,Random,192,93,0,223,1.0
random_30_07_0,Random,193,101,0,215,1.0
random_30_07_0,Random,194,94,0,222,1.0
random_30_07_0,Random,195,96,0,220,1.0
random_30_07_0,Random,196,95,0,221,1.0
random_30_07_0,Random,197,95,0,221,1.0
random_30_07_0,Random,198,90,0,226,1.0
random_30_07_0,Random,199,90,0,226,1.0
random_30_07_0,MostChanged,0,112,0,204,1.0
random_30_07_0,MostChanged,1,118,0,198,1.0
random_30_07_0,MostChanged,2,113,0,203,1.0
random_30_07_0,MostChanged,3,105,0,211,1.0
random_30_07_0,MostChanged,4,108,0,208,1.0
random_30_07_0,MostChanged,5,116,0,200,1.0
random_30_07_0,MostChanged,6,108,0,208,1.0
random_30_07_0,MostChanged,7,103,0,213,1.0
random_30_07_0,MostChanged,8,113,0,203,1.0
random_30_07_0,MostChanged,9,118,0,198,1.0
random_30_07_0,MostChanged,10,118,0,198,1.0
random_30_07_0,MostChanged,11,118,0,198,1.0
random_30_07_0,MostChanged,12,110,0,206,1.0
random_30_07_0,MostChanged,13,105,0,211,1.0
random_30_07_0,MostChanged,14,105,0,211,1.0
random_30_07_0,MostChanged,15,105,0,211,1.0
random_30_07_0,MostChanged,16,100,0,216,1.0
random_30_07_0,MostChanged,17,96,0,220,1.0
random_30_07_0,MostChanged,18,96,0,220,1.0
random_30_07_0,MostChanged,19,86,0,230,1.0
random_30_07_0,MostChanged,20,83,0,233,1.0
random_30_07_0,MostChanged,21,86,0,230,1.0
random_30_07_0,MostChanged,22,86,0,230,1.0
random_30_07_0,MostChanged,23,86,0,230,1.0
random_30_07_0,MostChanged,24,86,0,230,1.0
random_30_07_0,MostChanged,25,86,0,230,1.0
random_30_07_0,MostChanged,26,86,0,230,1.0
random_30_07_0,MostChanged,27,86,0,230,1.0
random_30_07_0,MostChanged,28,86,0,230,1.0
random_30_07_0,MostChanged,29,83,0,233,1.0
random_30_07_0,MostChanged,30,83,0,233,1.0
random_30_07_0,MostChanged,31,83,0,233,1.0
random_30_07_0,MostChanged,32,85,0,231,1.0
random_30_07_0,MostChanged,33,85,0,231,1.0
random_30_07_0,MostChanged,34,85,0,231,1.0
random_30_07_0,MostChanged,35,85,0,231,1.0
random_30_07_0,MostChanged,36,85,0,231,1.0
random_30_07_0,MostChanged,37,85,0,231,1.0
random_30_07_0,MostChanged,38,85,0,231,1.0
random_30_07_0,MostChanged,39,85,0,231,1.0
random_30_07_0,MostChanged,40,85,0,231,1.0
random_30_07_0,MostChanged,41,80,0,236,1.0
random_30_07_0,MostChanged,42,80,0,236,1.0
random_30_07_0,MostChanged,43,80,0,236,1.0
random_30_07_0,MostChanged,44,80,0,236,1.0
random_30_07_0,MostChanged,45,80,0,236,1.0
random_30_07_0,MostChanged,46,82,0,234,1.0
random_30_07_0,MostChanged,47,82,0,234,1.0
random_30_07_0,MostChanged,48,82,0,234,1.0
