graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
9graph,MIP,0,0,21,0,0.0
9graph,MIP,1,0,18,3,0.3
9graph,MIP,2,0,13,8,0.6
9graph,MIP,3,0,8,13,0.8
9graph,MIP,4,1,4,16,0.9
9graph,MIP,5,1,4,16,0.9
9graph,MIP,6,1,0,20,1.0
9graph,MIP,7,1,0,20,1.0
9graph,MIP,8,2,0,19,1.0
9graph,MIP,9,3,0,18,1.0
9graph,MIP,10,2,0,19,1.0
9graph,MIP,11,2,0,19,1.0
9graph,MIP,12,1,0,20,1.0
9graph,MIP,13,1,0,20,1.0
9graph,MIP,14,2,0,19,1.0
9graph,MIP,15,3,0,18,1.0
9graph,MIP,16,2,0,19,1.0
9graph,MIP,17,2,0,19,1.0
9graph,MIP,18,1,0,20,1.0
9graph,MIP,19,1,0,20,1.0
9graph,MIP,20,2,0,19,1.0
9graph,MIP,21,3,0,18,1.0
9graph,MIP,22,2,0,19,1.0
9graph,MIP,23,2,0,19,1.0
9graph,MIP,24,1,0,20,1.0
9graph,MIP,25,1,0,20,1.0
9graph,MIP,26,2,0,19,1.0
9graph,MIP,27,3,0,18,1.0
9graph,MIP,28,2,0,19,1.0
9graph,MIP,29,2,0,19,1.0
9graph,MIP,30,1,0,20,1.0
9graph,MIP,31,1,0,20,1.0
9graph,MIP,32,2,0,19,1.0
9graph,MIP,33,3,0,18,1.0
9graph,MIP,34,2,0,19,1.0
9graph,MIP,35,2,0,19,1.0
9graph,MIP,36,1,0,20,1.0
9graph,MIP,37,1,0,20,1.0
9graph,MIP,38,2,0,19,1.0
9graph,MIP,39,3,0,18,1.0
9graph,MIP,40,2,0,19,1.0
9graph,MIP,41,2,0,19,1.0
9graph,MIP,42,1,0,20,1.0
9graph,MIP,43,1,0,20,1.0
9graph,MIP,44,2,0,19,1.0
9graph,MIP,45,3,0,18,1.0
9graph,MIP,46,2,0,19,1.0
9graph,MIP,47,2,0,19,1.0
9graph,MIP,48,1,0,20,1.0
9graph,MIP,49,1,0,20,1.0
9graph,MIP,50,2,0,19,1.0
9graph,MIP,51,3,0,18,1.0
9graph,MIP,52,2,0,19,1.0
9graph,MIP,53,2,0,19,1.0
9graph,MIP,54,1,0,20,1.0
9graph,MIP,55,1,0,20,1.0
9graph,MIP,56,2,0,19,1.0
9graph,MIP,57,3,0,18,1.0
9graph,MIP,58,2,0,19,1.0
9graph,MIP,59,2,0,19,1.0
9graph,MIP,60,1,0,20,1.0
9graph,MIP,61,1,0,20,1.0
9graph,MIP,62,2,0,19,1.0
9graph,MIP,63,3,0,18,1.0
9graph,MIP,64,2,0,19,1.0
9graph,MIP,65,2,0,19,1.0
9graph,MIP,66,1,0,20,1.0
9graph,MIP,67,1,0,20,1.0
9graph,MIP,68,2,0,19,1.0
9graph,MIP,69,3,0,18,1.0
9graph,MIP,70,2,0,19,1.0
9graph,MIP,71,2,0,19,1.0
9graph,MIP,72,1,0,20,1.0
9graph,MIP,73,1,0,20,1.0
9graph,MIP,74,2,0,19,1.0
9graph,MIP,75,3,0,18,1.0
9graph,MIP,76,2,0,19,1.0
9graph,MIP,77,2,0,19,1.0
9graph,MIP,78,1,0,20,1.0
9graph,MIP,79,1,0,20,1.0
9graph,MIP,80,2,0,19,1.0
9graph,MIP,81,3,0,18,1.0
9graph,MIP,82,2,0,19,1.0
9graph,MIP,83,2,0,19,1.0
9graph,MIP,84,1,0,20,1.0
9graph,MIP,85,1,0,20,1.0
9graph,MIP,86,2,0,19,1.0
9graph,MIP,87,3,0,18,1.0
9graph,MIP,88,2,0,19,1.0
9graph,MIP,89,2,0,19,1.0
9graph,MIP,90,1,0,20,1.0
9graph,MIP,91,1,0,20,1.0
9graph,MIP,92,2,0,19,1.0
9graph,MIP,93,3,0,18,1.0
9graph,MIP,94,2,0,19,1.0
9graph,MIP,95,2,0,19,1.0
9graph,MIP,96,1,0,20,1.0
9graph,MIP,97,1,0,20,1.0
9graph,MIP,98,2,0,19,1.0
9graph,MIP,99,3,0,18,1.0
9graph,MIP,100,2,0,19,1.0
9graph,MIP,101,2,0,19,1.0
9graph,MIP,102,1,0,20,1.0
9graph,MIP,103,1,0,20,1.0
9graph,MIP,104,2,0,19,1.0
9graph,MIP,105,3,0,18,1.0
9graph,MIP,106,2,0,19,1.0
9graph,MIP,107,2,0,19,1.0
9graph,MIP,108,1,0,20,1.0
9graph,MIP,109,1,0,20,1.0
9graph,MIP,110,2,0,19,1.0
9graph,MIP,111,3,0,18,1.0
9graph,MIP,112,2,0,19,1.0
9graph,MIP,113,2,0,19,1.0
9graph,MIP,114,1,0,20,1.0
9graph,MIP,115,1,0,20,1.0
9graph,MIP,116,2,0,19,1.0
9graph,MIP,117,3,0,18,1.0
9graph,MIP,118,2,0,19,1.0
9graph,MIP,119,2,0,19,1.0
9graph,MIP,120,1,0,20,1.0
9graph,MIP,121,1,0,20,1.0
9graph,MIP,122,2,0,19,1.0
9graph,MIP,123,3,0,18,1.0
9graph,MIP,124,2,0,19,1.0
9graph,MIP,125,2,0,19,1.0
9graph,MIP,126,1,0,20,1.0
9graph,MIP,127,1,0,20,1.0
9graph,MIP,128,2,0,19,1.0
9graph,MIP,129,3,0,18,1.0
9graph,MIP,130,2,0,19,1.0
9graph,MIP,131,2,0,19,1.0
9graph,MIP,132,1,0,20,1.0
9graph,MIP,133,1,0,20,1.0
9graph,MIP,134,2,0,19,1.0
9graph,MIP,135,3,0,18,1.0
9graph,MIP,136,2,0,19,1.0
9graph,MIP,137,2,0,19,1.0
9graph,MIP,138,1,0,20,1.0
9graph,MIP,139,1,0,20,1.0
9graph,MIP,140,2,0,19,1.0
9graph,MIP,141,3,0,18,1.0
9graph,MIP,142,2,0,19,1.0
9graph,MIP,143,2,0,19,1.0
9graph,MIP,144,1,0,20,1.0
9graph,MIP,145,1,0,20,1.0
9graph,MIP,146,2,0,19,1.0
9graph,MIP,147,3,0,18,1.0
9graph,MIP,148,2,0,19,1.0
9graph,MIP,149,2,0,19,1.0
