graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
watts_strogatz_graph_20_5_05_0,Random,0,0,40,0,0.0
watts_strogatz_graph_20_5_05_0,Random,1,0,36,4,0.25
watts_strogatz_graph_20_5_05_0,Random,2,0,26,14,0.5
watts_strogatz_graph_20_5_05_0,Random,3,0,24,16,0.6
watts_strogatz_graph_20_5_05_0,Random,4,2,10,28,0.85
watts_strogatz_graph_20_5_05_0,Random,5,4,10,26,0.85
watts_strogatz_graph_20_5_05_0,Random,6,4,10,26,0.85
watts_strogatz_graph_20_5_05_0,Random,7,5,10,25,0.85
watts_strogatz_graph_20_5_05_0,Random,8,7,10,23,0.85
watts_strogatz_graph_20_5_05_0,Random,9,5,6,29,0.9
watts_strogatz_graph_20_5_05_0,Random,10,3,4,33,0.95
watts_strogatz_graph_20_5_05_0,Random,11,6,4,30,0.95
watts_strogatz_graph_20_5_05_0,Random,12,7,4,29,0.95
watts_strogatz_graph_20_5_05_0,Random,13,5,4,31,0.95
watts_strogatz_graph_20_5_05_0,Random,14,5,0,35,1.0
watts_strogatz_graph_20_5_05_0,Random,15,3,0,37,1.0
watts_strogatz_graph_20_5_05_0,Random,16,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,17,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,18,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,19,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,20,4,0,36,1.0
watts_strogatz_graph_20_5_05_0,Random,21,7,0,33,1.0
watts_strogatz_graph_20_5_05_0,Random,22,3,0,37,1.0
watts_strogatz_graph_20_5_05_0,Random,23,4,0,36,1.0
watts_strogatz_graph_20_5_05_0,Random,24,5,0,35,1.0
watts_strogatz_graph_20_5_05_0,Random,25,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,26,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,27,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,28,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,29,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,30,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,31,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,32,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,33,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,34,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,35,0,0,40,1.0
watts_strogatz_graph_20_5_05_0,Random,36,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,37,0,0,40,1.0
watts_strogatz_graph_20_5_05_0,Random,38,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,39,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,40,3,0,37,1.0
watts_strogatz_graph_20_5_05_0,Random,41,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,42,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,43,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,44,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,45,1,0,39,1.0
watts_strogatz_graph_20_5_05_0,Random,46,4,0,36,1.0
watts_strogatz_graph_20_5_05_0,Random,47,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,48,3,0,37,1.0
watts_strogatz_graph_20_5_05_0,Random,49,3,0,37,1.0
watts_strogatz_graph_20_5_05_0,Random,50,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,51,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,52,2,0,38,1.0
watts_strogatz_graph_20_5_05_0,Random,53,4,0,36,1.0
watts_strogatz_graph_20_5_05_0,Random,54,4,0,36,1.0
watts_strogatz_graph_20_5_05_0,Random,55,5,0,35,1.0
watts_strogatz_graph_20_5_05_0,Random,56,7,0,33,1.0
watts_strogatz_graph_20_5_05_0,Random,57,6,0,34,1.0
watts_strogatz_graph_20_5_05_0,Random,58,6,0,34,1.0
watts_strogatz_graph_20_5_05_0,Random,59,7,0,33,1.0
watts_strogatz_graph_20_5_05_0,Random,60,4,0,36,1.0
watts_strogatz_graph_20_5_05_0,Random,61,4,0,36,1.0
