graphName,algorithm,iteration,conflicts,unknown,notConflicts,percentColored
watts_strogatz_graph_20_5_07_0,Random,0,0,40,0,0.0
watts_strogatz_graph_20_5_07_0,Random,1,0,38,2,0.15
watts_strogatz_graph_20_5_07_0,Random,2,0,36,4,0.3
watts_strogatz_graph_20_5_07_0,Random,3,0,31,9,0.45
watts_strogatz_graph_20_5_07_0,Random,4,0,25,15,0.55
watts_strogatz_graph_20_5_07_0,Random,5,3,18,19,0.65
watts_strogatz_graph_20_5_07_0,Random,6,5,16,19,0.7
watts_strogatz_graph_20_5_07_0,Random,7,5,16,19,0.75
watts_strogatz_graph_20_5_07_0,Random,8,5,10,25,0.85
watts_strogatz_graph_20_5_07_0,Random,9,5,10,25,0.85
watts_strogatz_graph_20_5_07_0,Random,10,7,7,26,0.9
watts_strogatz_graph_20_5_07_0,Random,11,6,7,27,0.9
watts_strogatz_graph_20_5_07_0,Random,12,4,7,29,0.9
watts_strogatz_graph_20_5_07_0,Random,13,3,7,30,0.9
watts_strogatz_graph_20_5_07_0,Random,14,5,3,32,0.95
watts_strogatz_graph_20_5_07_0,Random,15,6,3,31,0.95
watts_strogatz_graph_20_5_07_0,Random,16,6,3,31,0.95
watts_strogatz_graph_20_5_07_0,Random,17,5,3,32,0.95
watts_strogatz_graph_20_5_07_0,Random,18,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,19,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,20,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,21,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,22,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,23,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,24,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,25,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,26,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,27,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,28,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,29,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,30,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,31,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,32,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,33,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,34,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,35,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,36,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,37,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,38,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,39,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,40,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,41,10,0,30,1.0
watts_strogatz_graph_20_5_07_0,Random,42,12,0,28,1.0
watts_strogatz_graph_20_5_07_0,Random,43,13,0,27,1.0
watts_strogatz_graph_20_5_07_0,Random,44,10,0,30,1.0
watts_strogatz_graph_20_5_07_0,Random,45,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,46,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,47,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,48,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,49,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,50,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,51,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,52,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,53,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,54,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,55,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,56,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,57,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,58,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,59,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,60,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,61,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,62,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,63,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,64,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,65,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,66,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,67,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,68,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,69,11,0,29,1.0
watts_strogatz_graph_20_5_07_0,Random,70,10,0,30,1.0
watts_strogatz_graph_20_5_07_0,Random,71,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,72,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,73,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,74,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,75,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,76,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,77,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,78,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,79,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,80,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,81,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,82,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,83,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,84,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,85,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,86,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,87,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,88,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,89,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,90,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,91,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,92,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,93,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,94,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,95,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,96,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,97,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,98,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,99,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,100,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,101,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,102,9,0,31,1.0
watts_strogatz_graph_20_5_07_0,Random,103,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,104,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,105,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,106,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,107,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,108,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,109,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,110,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,111,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,112,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,113,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,114,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,115,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,116,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,117,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,118,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,119,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,120,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,121,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,122,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,123,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,124,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,125,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,126,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,127,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,128,8,0,32,1.0
watts_strogatz_graph_20_5_07_0,Random,129,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,130,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,131,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,132,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,133,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,134,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,135,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,136,1,0,39,1.0
watts_strogatz_graph_20_5_07_0,Random,137,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,138,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,139,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,140,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,141,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,142,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,143,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,144,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,145,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,146,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,147,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,148,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,149,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,150,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,151,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,152,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,153,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,154,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,155,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,156,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,157,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,158,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,159,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,160,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,161,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,162,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,163,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,164,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,165,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,166,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,167,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,168,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,169,2,0,38,1.0
watts_strogatz_graph_20_5_07_0,Random,170,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,171,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,172,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,173,6,0,34,1.0
watts_strogatz_graph_20_5_07_0,Random,174,7,0,33,1.0
watts_strogatz_graph_20_5_07_0,Random,175,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,176,4,0,36,1.0
watts_strogatz_graph_20_5_07_0,Random,177,5,0,35,1.0
watts_strogatz_graph_20_5_07_0,Random,178,3,0,37,1.0
watts_strogatz_graph_20_5_07_0,Random,179,4,0,36,1.0
