algorithm,iteration,conflicts,unknown,notConflicts,percentColored
Random,0,0,20,0,0.0
Random,1,1,19,0,0.15
Random,2,0,18,2,0.25
Random,3,0,16,4,0.35
Random,4,0,15,5,0.4
Random,5,1,15,4,0.4
Random,6,1,14,5,0.45
Random,7,2,14,4,0.45
Random,8,0,14,6,0.45
Random,9,0,11,9,0.55
Random,10,1,9,10,0.6
Random,11,1,9,10,0.6
Random,12,1,9,10,0.6
Random,13,1,8,11,0.65
Random,14,1,8,11,0.65
Random,15,1,8,11,0.65
Random,16,0,8,12,0.65
Random,17,0,8,12,0.65
Random,18,0,8,12,0.65
Random,19,0,7,13,0.7
Random,20,0,5,15,0.8
Random,21,0,3,17,0.85
Random,22,0,3,17,0.85
Random,23,0,3,17,0.85
Random,24,0,3,17,0.85
Random,25,1,3,16,0.85
Random,26,1,2,17,0.9
Random,27,1,2,17,0.9
Random,28,0,2,18,0.9
Random,29,1,1,18,0.95
Random,30,1,1,18,0.95
Random,31,1,1,18,0.95
Random,32,1,1,18,0.95
Random,33,2,1,17,0.95
Random,34,2,1,17,0.95
Random,35,2,1,17,0.95
Random,36,0,1,19,0.95
Random,37,0,1,19,0.95
Random,38,0,1,19,0.95
Random,39,1,1,18,0.95
Random,40,1,1,18,0.95
Random,41,1,1,18,0.95
Random,42,1,1,18,0.95
Random,43,1,1,18,0.95
Random,44,1,1,18,0.95
Random,45,1,1,18,0.95
Random,46,0,1,19,0.95
Random,47,0,1,19,0.95
Random,48,0,1,19,0.95
Random,49,0,1,19,0.95
Random,50,0,1,19,0.95
Random,51,0,1,19,0.95
Random,52,0,1,19,0.95
Random,53,1,1,18,0.95
Random,54,1,0,19,1.0
Random,55,0,0,20,1.0
Random,56,0,0,20,1.0
Random,57,0,0,20,1.0
Random,58,0,0,20,1.0
Random,59,0,0,20,1.0
Random,60,0,0,20,1.0
Random,61,0,0,20,1.0
Random,62,0,0,20,1.0
Random,63,0,0,20,1.0
Random,64,0,0,20,1.0
Random,65,0,0,20,1.0
Random,66,0,0,20,1.0
Random,67,0,0,20,1.0
Random,68,0,0,20,1.0
Random,69,0,0,20,1.0
Random,70,0,0,20,1.0
Random,71,0,0,20,1.0
Random,72,0,0,20,1.0
Random,73,0,0,20,1.0
Random,74,1,0,19,1.0
Random,75,1,0,19,1.0
