algorithm,iteration,conflicts,unknown,notConflicts,percentColored
Random,0,0,40,0,0.0
Random,1,0,40,0,0.1
Random,2,0,37,3,0.25
Random,3,0,32,8,0.4
Random,4,0,29,11,0.5
Random,5,0,23,17,0.6
Random,6,1,20,19,0.65
Random,7,2,15,23,0.7
Random,8,2,15,23,0.7
Random,9,2,14,24,0.75
Random,10,3,11,26,0.8
Random,11,3,11,26,0.8
Random,12,5,11,24,0.8
Random,13,5,11,24,0.8
Random,14,5,11,24,0.8
Random,15,5,11,24,0.8
Random,16,5,11,24,0.8
Random,17,5,11,24,0.8
Random,18,3,11,26,0.8
Random,19,3,11,26,0.8
Random,20,4,11,25,0.8
Random,21,2,11,27,0.8
Random,22,4,11,25,0.8
Random,23,4,11,25,0.8
Random,24,4,11,25,0.8
Random,25,5,11,24,0.8
Random,26,4,11,25,0.8
Random,27,2,11,27,0.8
Random,28,1,11,28,0.8
Random,29,1,11,28,0.8
Random,30,0,11,29,0.8
Random,31,1,11,28,0.8
Random,32,1,11,28,0.8
Random,33,3,11,26,0.8
Random,34,3,11,26,0.8
Random,35,4,11,25,0.8
Random,36,4,11,25,0.8
Random,37,4,11,25,0.8
Random,38,4,11,25,0.8
Random,39,3,11,26,0.8
Random,40,3,11,26,0.8
Random,41,3,11,26,0.8
Random,42,3,11,26,0.8
Random,43,3,11,26,0.8
Random,44,4,11,25,0.8
Random,45,5,11,24,0.8
Random,46,5,11,24,0.8
Random,47,4,11,25,0.8
Random,48,4,11,25,0.8
Random,49,4,11,25,0.8
Random,50,4,11,25,0.8
Random,51,4,11,25,0.8
Random,52,4,11,25,0.8
Random,53,4,11,25,0.8
Random,54,4,11,25,0.8
Random,55,5,11,24,0.8
Random,56,6,8,26,0.85
Random,57,9,8,23,0.85
Random,58,7,8,25,0.85
Random,59,3,8,29,0.85
Random,60,6,8,26,0.85
Random,61,6,8,26,0.85
Random,62,5,5,30,0.9
Random,63,4,5,31,0.9
Random,64,4,5,31,0.9
Random,65,5,5,30,0.9
Random,66,6,5,29,0.9
Random,67,8,2,30,0.95
Random,68,8,2,30,0.95
Random,69,8,2,30,0.95
Random,70,8,2,30,0.95
Random,71,8,2,30,0.95
Random,72,8,2,30,0.95
Random,73,8,2,30,0.95
Random,74,8,2,30,0.95
Random,75,7,2,31,0.95
Random,76,8,2,30,0.95
Random,77,9,2,29,0.95
Random,78,8,2,30,0.95
Random,79,8,2,30,0.95
Random,80,10,2,28,0.95
Random,81,10,2,28,0.95
Random,82,10,2,28,0.95
Random,83,8,2,30,0.95
Random,84,9,2,29,0.95
Random,85,9,2,29,0.95
Random,86,9,2,29,0.95
Random,87,8,2,30,0.95
Random,88,6,2,32,0.95
Random,89,7,2,31,0.95
Random,90,7,2,31,0.95
Random,91,10,2,28,0.95
Random,92,10,2,28,0.95
Random,93,12,2,26,0.95
Random,94,7,2,31,0.95
Random,95,7,2,31,0.95
Random,96,7,2,31,0.95
Random,97,7,2,31,0.95
Random,98,6,2,32,0.95
Random,99,7,2,31,0.95
Random,100,7,2,31,0.95
Random,101,7,2,31,0.95
MostChanged,0,0,40,0,0.0
MostChanged,1,0,40,0,0.1
MostChanged,2,1,37,2,0.25
MostChanged,3,1,31,8,0.4
MostChanged,4,0,29,11,0.45
MostChanged,5,0,22,18,0.55
MostChanged,6,3,22,15,0.55
MostChanged,7,3,22,15,0.55
MostChanged,8,2,20,18,0.6
MostChanged,9,5,18,17,0.65
MostChanged,10,5,18,17,0.65
MostChanged,11,4,15,21,0.7
MostChanged,12,6,15,19,0.7
MostChanged,13,6,15,19,0.7
MostChanged,14,4,15,21,0.7
MostChanged,15,2,14,24,0.75
MostChanged,16,2,14,24,0.75
MostChanged,17,2,14,24,0.75
MostChanged,18,2,14,24,0.75
MostChanged,19,4,14,22,0.75
MostChanged,20,4,14,22,0.75
MostChanged,21,4,14,22,0.75
MostChanged,22,4,14,22,0.75
MostChanged,23,3,14,23,0.75
MostChanged,24,2,14,24,0.75
MostChanged,25,3,14,23,0.75
MostChanged,26,4,14,22,0.75
MostChanged,27,4,14,22,0.75
MostChanged,28,4,14,22,0.75
MostChanged,29,2,14,24,0.75
MostChanged,30,2,14,24,0.75
MostChanged,31,2,14,24,0.75
MostChanged,32,2,12,26,0.8
MostChanged,33,2,12,26,0.8
MostChanged,34,2,12,26,0.8
MostChanged,35,2,12,26,0.8
MostChanged,36,2,12,26,0.8
MostChanged,37,2,12,26,0.8
MostChanged,38,1,12,27,0.8
MostChanged,39,1,12,27,0.8
MostChanged,40,1,12,27,0.8
MostChanged,41,1,12,27,0.8
MostChanged,42,3,12,25,0.8
MostChanged,43,3,12,25,0.8
MostChanged,44,3,10,27,0.85
MostChanged,45,6,10,24,0.85
MostChanged,46,6,10,24,0.85
MostChanged,47,3,10,27,0.85
MostChanged,48,3,10,27,0.85
MostChanged,49,3,10,27,0.85
MostChanged,50,3,10,27,0.85
MostChanged,51,3,10,27,0.85
MostChanged,52,3,10,27,0.85
MostChanged,53,3,10,27,0.85
MostChanged,54,3,10,27,0.85
MostChanged,55,3,10,27,0.85
MostChanged,56,2,10,28,0.85
MostChanged,57,2,10,28,0.85
MostChanged,58,2,7,31,0.9
MostChanged,59,4,7,29,0.9
MostChanged,60,6,7,27,0.9
MostChanged,61,6,7,27,0.9
MostChanged,62,6,7,27,0.9
MostChanged,63,8,7,25,0.9
MostChanged,64,8,7,25,0.9
MostChanged,65,7,7,26,0.9
MostChanged,66,6,7,27,0.9
MostChanged,67,6,7,27,0.9
MostChanged,68,7,7,26,0.9
MostChanged,69,7,7,26,0.9
MostChanged,70,7,7,26,0.9
MostChanged,71,6,7,27,0.9
MostChanged,72,7,7,26,0.9
MostChanged,73,7,7,26,0.9
MostChanged,74,7,7,26,0.9
MostChanged,75,7,7,26,0.9
MostChanged,76,6,7,27,0.9
MostChanged,77,5,7,28,0.9
MostChanged,78,5,7,28,0.9
MostChanged,79,5,7,28,0.9
MostChanged,80,5,7,28,0.9
MostChanged,81,5,7,28,0.9
MostChanged,82,5,7,28,0.9
MostChanged,83,5,7,28,0.9
MostChanged,84,5,7,28,0.9
MostChanged,85,5,7,28,0.9
MostChanged,86,5,7,28,0.9
MostChanged,87,5,7,28,0.9
